joint_pos_desired_1, joint_pos_1, joint_vel_desired_1, joint_vel_filtered_1, input torque_1, h term torque_1, current_time
-0.349,-0.350354,-1.53395e-07,0,-9,0,0.004
-0.349,-0.350355,-6.13289e-07,-0.000153398,-10,0,0.008
-0.349,-0.350354,-1.37925e-06,6.81087e-05,-8,0,0.012
-0.349,-0.350352,-2.45085e-06,0.000267966,-6,0,0.016
-0.349,-0.350349,-3.82765e-06,0.000494134,-4,0,0.02
-0.349,-0.350346,-5.50922e-06,0.000581535,-3,0,0.024
-0.349,-0.350343,-7.49512e-06,0.000630129,-3,0,0.028
-0.349,-0.350341,-9.78493e-06,0.0005421,-3,0,0.032
-0.349,-0.350341,-1.23782e-05,0.000301407,-6,0,0.036
-0.349,-0.350342,-1.52745e-05,0.000129233,-7,0,0.04
-0.349,-0.350342,-1.84735e-05,7.18535e-05,-8,0,0.044
-0.349,-0.350342,-2.19746e-05,3.99506e-05,-8,0,0.048
-0.349,-0.350342,-2.57775e-05,2.22125e-05,-8,0,0.052
-0.349001,-0.350342,-2.98816e-05,1.23502e-05,-8,0,0.056
-0.349001,-0.350342,-3.42867e-05,6.86669e-06,-8,0,0.06
-0.349001,-0.350342,-3.89922e-05,3.81788e-06,-8,0,0.064
-0.349001,-0.350342,-4.39978e-05,2.12274e-06,-8,0,0.068
-0.349001,-0.350342,-4.93029e-05,1.18024e-06,-8,0,0.072
-0.349001,-0.350342,-5.49073e-05,6.56215e-07,-8,0,0.076
-0.349002,-0.350342,-6.08103e-05,3.64856e-07,-8,0,0.08
-0.349002,-0.350342,-6.70117e-05,2.0286e-07,-8,0,0.084
-0.349002,-0.350342,-7.35109e-05,1.1279e-07,-8,0,0.088
-0.349002,-0.350342,-8.03076e-05,6.27113e-08,-8,0,0.092
-0.349003,-0.350342,-8.74013e-05,3.48675e-08,-8,0,0.096
-0.349003,-0.350342,-9.47916e-05,1.93863e-08,-8,0,0.1
-0.349004,-0.350342,-0.000102478,1.07788e-08,-8,0,0.104
-0.349004,-0.350342,-0.00011046,5.99301e-09,-8,0,0.108
-0.349004,-0.350342,-0.000118738,3.33211e-09,-8,0,0.112
-0.349005,-0.350342,-0.00012731,1.85265e-09,-7,0,0.116
-0.349005,-0.350342,-0.000136177,1.03008e-09,-7,0,0.12
-0.349006,-0.350341,-0.000145338,3.83501e-05,-7,0,0.124
-0.349007,-0.350342,-0.000154792,-1.70269e-05,-7,0,0.128
-0.349007,-0.350342,-0.00016454,-9.46694e-06,-7,0,0.132
-0.349008,-0.350342,-0.00017458,-5.26362e-06,-7,0,0.136
-0.349009,-0.350341,-0.000184913,3.54229e-05,-7,0,0.14
-0.349009,-0.350342,-0.000195538,-1.86544e-05,-7,0,0.144
-0.34901,-0.350342,-0.000206454,-1.03718e-05,-7,0,0.148
-0.349011,-0.350342,-0.000217661,-5.76673e-06,-7,0,0.152
-0.349012,-0.350342,-0.000229159,-3.2063e-06,-6,0,0.156
-0.349013,-0.350342,-0.000240947,-1.7827e-06,-6,0,0.16
-0.349014,-0.350342,-0.000253024,-9.91184e-07,-6,0,0.164
-0.349015,-0.350342,-0.000265391,-5.51098e-07,-6,0,0.168
-0.349016,-0.350342,-0.000278047,-3.06411e-07,-6,0,0.172
-0.349017,-0.350342,-0.000290992,-1.70364e-07,-6,0,0.176
-0.349018,-0.350342,-0.000304224,-9.47226e-08,-6,0,0.18
-0.34902,-0.350342,-0.000317744,-5.26657e-08,-6,0,0.184
-0.349021,-0.350342,-0.000331551,-2.92822e-08,-5,0,0.188
-0.349022,-0.350342,-0.000345646,-1.62809e-08,-5,0,0.192
-0.349024,-0.350342,-0.000360026,-9.05217e-09,-5,0,0.196
-0.349025,-0.350342,-0.000374693,-5.033e-09,-5,0,0.2
-0.349027,-0.350342,-0.000389645,-2.79835e-09,-5,0,0.204
-0.349028,-0.350342,-0.000404882,-1.55588e-09,-5,0,0.208
-0.34903,-0.350342,-0.000420403,-8.65071e-10,-4,0,0.212
-0.349032,-0.350342,-0.000436209,-4.80979e-10,-4,0,0.216
-0.349033,-0.350342,-0.000452299,-2.67425e-10,-4,0,0.22
-0.349035,-0.350342,-0.000468672,-1.48688e-10,-4,0,0.224
-0.349037,-0.350342,-0.000485329,-8.26706e-11,-4,0,0.228
-0.349039,-0.350342,-0.000502267,-4.59648e-11,-4,0,0.232
-0.349041,-0.350342,-0.000519488,-2.55564e-11,-3,0,0.236
-0.349043,-0.350342,-0.000536991,-1.42094e-11,-3,0,0.24
-0.349045,-0.350342,-0.000554775,-7.90042e-12,-3,0,0.244
-0.349048,-0.350342,-0.00057284,-4.39263e-12,-3,0,0.248
