joint_pos_desired_1, joint_pos_1, joint_vel_desired_1, joint_vel_filtered_1, input torque_1, h term torque_1, current_time
-1.8,-1.80155,1.53395e-07,0,-8,0,0.004
-1.8,-1.80155,6.13289e-07,-3.83495e-05,-8,0,0.008
-1.8,-1.80155,1.37925e-06,-2.13223e-05,-8,0,0.012
-1.8,-1.80155,2.45085e-06,-1.18552e-05,-8,0,0.016
-1.8,-1.80155,3.82765e-06,3.1758e-05,-8,0,0.02
-1.8,-1.80155,5.50922e-06,-2.06921e-05,-8,0,0.024
-1.8,-1.80155,7.49512e-06,2.68447e-05,-8,0,0.028
-1.8,-1.80155,9.78493e-06,-2.34238e-05,-8,0,0.032
-1.8,-1.80155,1.23782e-05,2.53259e-05,-8,0,0.036
-1.8,-1.80155,1.52745e-05,5.24307e-05,-8,0,0.04
-1.8,-1.80155,1.84735e-05,2.91515e-05,-8,0,0.044
-1.8,-1.80155,2.19746e-05,1.62082e-05,-8,0,0.048
-1.8,-1.80155,2.57775e-05,9.01177e-06,-8,0,0.052
-1.8,-1.80155,2.98816e-05,5.01054e-06,-8,0,0.056
-1.8,-1.80155,3.42867e-05,2.78586e-06,-8,0,0.06
-1.8,-1.80155,3.89922e-05,1.54894e-06,-8,0,0.064
-1.8,-1.80155,4.39978e-05,8.6121e-07,-8,0,0.068
-1.8,-1.80155,4.93029e-05,4.78833e-07,-8,0,0.072
-1.8,-1.80155,5.49073e-05,2.66231e-07,-9,0,0.076
-1.8,-1.80155,6.08103e-05,1.48024e-07,-9,0,0.08
-1.8,-1.80155,6.70117e-05,8.23016e-08,-9,0,0.084
-1.8,-1.80155,7.35109e-05,4.57597e-08,-9,0,0.088
-1.8,-1.80155,8.03076e-05,3.8375e-05,-8,0,0.092
-1.8,-1.80155,8.74013e-05,-1.7013e-05,-9,0,0.096
-1.8,-1.80155,9.47916e-05,-9.45925e-06,-9,0,0.1
-1.8,-1.80155,0.000102478,3.30902e-05,-9,0,0.104
-1.8,-1.80155,0.00011046,1.83981e-05,-9,0,0.108
-1.8,-1.80155,0.000118738,1.02294e-05,-9,0,0.112
-1.8,-1.80155,0.00012731,5.68753e-06,-9,0,0.116
-1.79999,-1.80155,0.000136177,-3.51872e-05,-10,0,0.12
-1.79999,-1.80155,0.000145338,1.87854e-05,-9,0,0.124
-1.79999,-1.80155,0.000154792,1.04447e-05,-9,0,0.128
-1.79999,-1.80155,0.00016454,5.80724e-06,-9,0,0.132
-1.79999,-1.80155,0.00017458,3.22883e-06,-10,0,0.136
