joint_pos_desired_1, joint_pos_1, joint_vel_desired_1, joint_vel_filtered_1, input torque_1, h term torque_1, current_time
-1.85994,-1.86259,0.000542879,6.8597e-07,-23,0,0.356
-1.85993,-1.86259,0.000554942,3.814e-07,-23,0,0.36
-1.85993,-1.86259,0.000567132,2.12058e-07,-23,0,0.364
-1.85993,-1.86259,0.000579451,1.17904e-07,-24,0,0.368
-1.85993,-1.86259,0.000591897,3.84151e-05,-23,0,0.372
-1.85992,-1.86259,0.000604471,-5.53402e-05,-24,0,0.376
-1.85992,-1.86259,0.000617172,4.59298e-05,-23,0,0.38
-1.85992,-1.86259,0.00063,2.5537e-05,-24,0,0.384
-1.85992,-1.86259,0.000642956,1.41986e-05,-24,0,0.388
-1.85991,-1.86259,0.000656038,7.8944e-06,-24,0,0.392
-1.85991,-1.86259,0.000669247,4.38929e-06,-24,0,0.396
-1.85991,-1.86259,0.000682583,2.44044e-06,-25,0,0.4
-1.85991,-1.86259,0.000696045,7.80559e-05,-24,0,0.404
-1.8599,-1.86259,0.000709633,5.04957e-06,-25,0,0.408
-1.8599,-1.86259,0.000723347,2.80756e-06,-25,0,0.412
-1.8599,-1.86259,0.000737188,1.56101e-06,-25,0,0.416
-1.85989,-1.86259,0.000751154,3.92174e-05,-25,0,0.42
-1.85989,-1.86259,0.000765246,2.18049e-05,-25,0,0.424
-1.85989,-1.86259,0.000779464,5.0473e-05,-25,0,0.428
-1.85988,-1.86259,0.000793807,6.64125e-05,-25,0,0.432
-1.85988,-1.86259,0.000808275,0.000113624,-25,0,0.436
-1.85988,-1.86259,0.000822869,6.31752e-05,-26,0,0.44
-1.85987,-1.86259,0.000837587,7.34749e-05,-26,0,0.444
-1.85987,-1.86259,0.00085243,0.000117551,-25,0,0.448
-1.85987,-1.86259,0.000867398,0.000142057,-25,0,0.452
-1.85986,-1.86259,0.000882491,0.000117333,-26,0,0.456
-1.85986,-1.86259,0.000897707,0.000141936,-26,0,0.46
-1.85986,-1.86259,0.000913048,0.000155616,-26,0,0.464
-1.85985,-1.86259,0.000928513,0.000201571,-25,0,0.468
-1.85985,-1.86258,0.000944102,0.000227122,-25,0,0.472
-1.85985,-1.86258,0.000959815,0.000318027,-25,0,0.476
-1.85984,-1.86258,0.000975652,0.000253522,-25,0,0.48
-1.85984,-1.86258,0.000991611,0.000217657,-26,0,0.484
-1.85983,-1.86258,0.00100769,0.000312765,-25,0,0.488
-1.85983,-1.86258,0.0010239,0.000327295,-25,0,0.492
-1.85983,-1.86258,0.00104023,0.000297025,-26,0,0.496
-1.85982,-1.86258,0.00105668,0.000318544,-26,0,0.5
-1.85982,-1.86257,0.00107326,0.000407207,-25,0,0.504
-1.85981,-1.86257,0.00108996,0.000456504,-25,0,0.508
-1.85981,-1.86257,0.00110678,0.000522263,-24,0,0.512
-1.8598,-1.86257,0.00112372,0.000635524,-23,0,0.516
-1.8598,-1.86256,0.00114078,0.000736846,-23,0,0.52
-1.8598,-1.86256,0.00115797,0.000831531,-22,0,0.524
-1.85979,-1.86255,0.00117528,0.000999225,-20,0,0.528
-1.85979,-1.86255,0.00119271,0.00113081,-19,0,0.532
-1.85978,-1.86254,0.00121026,0.00124232,-18,0,0.536
-1.85978,-1.86254,0.00122793,0.00134267,-17,0,0.54
-1.85977,-1.86253,0.00124573,0.00132177,-18,0,0.544
-1.85977,-1.86253,0.00126364,0.00138685,-17,0,0.548
-1.85976,-1.86252,0.00128168,0.00146138,-17,0,0.552
-1.85976,-1.86251,0.00129984,0.00146447,-17,0,0.556
-1.85975,-1.86251,0.00131812,0.00146619,-17,0,0.56
-1.85975,-1.8625,0.00133651,0.00142879,-18,0,0.564
