joint1_pos_desired, joint1_pos, joint2_pos_desired, joint2_pos, joint1_vel_desired, joint1_vel_filtered, joint2_vel_desired, joint2_vel_filtered, target_torque_joint1, target_torque_joint2, nonlinear_term_torque_joint1, PD_term_torque_joint1, nonlinear_term_torque_joint2, PD_term_torque_joint2, current_time
0.0069,0.00843897,8.3175e-11,0.000586644,9.41623e-08,0,6.2375e-08,0,17,-91,0,17,-98.3494,7.34941,0.004
0.0069,0.00844,6.65201e-10,0.000586644,3.76499e-07,8.63728e-05,2.494e-07,0,17,-91,0,17,-98.3494,7.34941,0.008
0.0069,0.00843827,2.24438e-09,0.000586989,8.46783e-07,-8.63728e-05,5.60926e-07,2.87909e-05,16,-91,-8.00103e-12,16,-98.3494,7.34941,0.012
0.00690001,0.00843724,5.31841e-09,0.000592172,1.50479e-06,-0.000143955,9.96803e-07,0.000451058,15,-87,-2.1076e-10,15,-98.3494,11.3494,0.016
0.00690002,0.00843482,1.03844e-08,0.000603573,2.35029e-06,-0.000297506,1.55688e-06,0.00125081,14,-79,-1.23112e-09,14,-98.3494,19.3494,0.02
0.00690003,0.00843136,1.79389e-08,0.000621193,3.38307e-06,-0.000486247,2.24101e-06,0.00230221,12,-69,-3.81163e-09,12,-98.3494,29.3494,0.024
0.00690004,0.00842756,2.84777e-08,0.00064365,4.60288e-06,-0.000640865,3.04904e-06,0.00340622,10,-58,-7.70143e-09,10,-98.3494,40.3494,0.028
0.00690006,0.00842411,4.24962e-08,0.000670253,6.00952e-06,-0.000715152,3.98083e-06,0.00448771,9,-47,-1.17908e-08,9,-98.3494,51.3494,0.032
0.00690009,0.00842204,6.04892e-08,0.000699619,7.60276e-06,-0.000649514,5.03622e-06,0.00543904,10,-38,-1.35474e-08,10,-98.3494,60.3494,0.036
0.00690013,0.00842135,8.29506e-08,0.000730714,9.38236e-06,-0.000490591,6.21506e-06,0.00621721,11,-30,-1.22165e-08,11,-98.3494,68.3494,0.04
0.00690017,0.00842204,1.10374e-07,0.00076319,1.13481e-05,-0.000269479,7.51721e-06,0.00685115,14,-24,-7.72332e-09,14,-98.3494,74.3494,0.044
0.00690022,0.00842238,1.43253e-07,0.000795321,1.34998e-05,-0.000150862,8.94252e-06,0.00724499,15,-20,-4.76477e-09,15,-98.3494,78.3494,0.048
0.00690027,0.00842204,1.82078e-07,0.000826069,1.58371e-05,-0.000129365,1.04908e-05,0.00739239,15,-18,-4.33014e-09,15,-98.3494,80.3494,0.052
0.00690034,0.00842204,2.27343e-07,0.000855436,1.836e-05,-8.62436e-05,1.2162e-05,0.00737549,15,-18,-2.98255e-09,15,-98.3494,80.3494,0.056
0.00690042,0.00842204,2.79538e-07,0.000883075,2.1068e-05,-5.74957e-05,1.39559e-05,0.00722026,16,-19,-2.00941e-09,16,-98.3494,79.3494,0.06
0.00690051,0.00842204,3.39154e-07,0.000909678,2.39611e-05,-3.83305e-05,1.58723e-05,0.00703041,16,-21,-1.34368e-09,16,-98.3494,77.3494,0.064
0.00690061,0.00842169,4.0668e-07,0.000934553,2.7039e-05,-5.43446e-05,1.79112e-05,0.00675989,16,-23,-1.88184e-09,16,-98.3494,75.3494,0.068
0.00690073,0.00842169,4.82606e-07,0.000958047,3.03014e-05,-3.62297e-05,2.00723e-05,0.00646437,16,-26,-1.22988e-09,16,-98.3494,72.3494,0.072
0.00690086,0.00842135,5.67421e-07,0.000978431,3.37482e-05,-5.29441e-05,2.23555e-05,0.00600825,15,-30,-1.706e-09,15,-98.3494,68.3494,0.076
0.006901,0.00842169,6.61613e-07,0.000997778,3.73792e-05,-6.50512e-06,2.47607e-05,0.00561779,16,-33,-1.99865e-10,16,-98.3494,65.3494,0.08
0.00690116,0.00842135,7.65669e-07,0.00101713,4.1194e-05,-3.31277e-05,2.72877e-05,0.00535749,16,-36,-9.89485e-10,16,-98.3494,62.3494,0.084
0.00690133,0.00842169,8.80077e-07,0.00103578,4.51925e-05,6.70581e-06,2.99364e-05,0.00512637,16,-38,1.9517e-10,16,-98.3494,60.3494,0.088
0.00690152,0.00842169,1.00532e-06,0.00105513,4.93744e-05,4.47054e-06,3.27066e-05,0.00502987,16,-38,1.30049e-10,16,-98.3494,60.3494,0.092
0.00690172,0.00842169,1.14189e-06,0.00107413,5.37396e-05,2.98036e-06,3.55982e-05,0.00493675,16,-39,8.66264e-11,16,-98.3494,59.3494,0.096
0.00690195,0.00842135,1.29027e-06,0.00109348,5.82877e-05,-2.6804e-05,3.8611e-05,0.00490346,15,-39,-7.87763e-10,15,-98.3494,59.3494,0.1
0.00690219,0.00842169,1.45094e-06,0.00111421,6.30187e-05,1.09216e-05,4.17448e-05,0.00499643,16,-38,3.33269e-10,16,-98.3494,60.3494,0.104
0.00690245,0.00842169,1.62439e-06,0.00113494,6.79321e-05,7.28105e-06,4.49996e-05,0.00505841,16,-37,2.2912e-10,16,-98.3494,61.3494,0.108
0.00690273,0.00842169,1.8111e-06,0.0011567,7.3028e-05,4.85404e-06,4.83752e-05,0.0051861,16,-36,1.59606e-10,16,-98.3494,62.3494,0.112
0.00690304,0.00842169,2.01155e-06,0.00117743,7.83059e-05,3.23602e-06,5.18714e-05,0.00518485,16,-36,1.08285e-10,16,-98.3494,62.3494,0.116
0.00690336,0.00842169,2.22623e-06,0.00119816,8.37657e-05,2.15735e-06,5.54881e-05,0.00518403,15,-36,7.34491e-11,15,-98.3494,62.3494,0.12
0.00690371,0.00842135,2.45562e-06,0.00121786,8.94072e-05,-2.73527e-05,5.92251e-05,0.0050971,15,-36,-9.30683e-10,15,-98.3494,62.3494,0.124
0.00690408,0.00842135,2.70019e-06,0.00123789,9.52301e-05,-1.82351e-05,6.30823e-05,0.00506794,15,-36,-6.27057e-10,15,-98.3494,62.3494,0.128
0.00690447,0.00842169,2.96044e-06,0.00125793,0.000101234,1.66342e-05,6.70596e-05,0.0050485,15,-36,5.79034e-10,15,-98.3494,62.3494,0.132
0.00690489,0.00842169,3.23683e-06,0.00127832,0.000107419,1.10894e-05,7.11567e-05,0.00506433,15,-36,3.93508e-10,15,-98.3494,62.3494,0.136
0.00690533,0.00842169,3.52985e-06,0.00129766,0.000113785,7.39297e-06,7.53736e-05,0.00498851,15,-37,2.62322e-10,15,-98.3493,61.3493,0.14
0.0069058,0.00842169,3.83998e-06,0.00131736,0.000120332,4.92864e-06,7.97101e-05,0.00496676,15,-37,1.76761e-10,15,-98.3493,61.3493,0.144
0.00690629,0.00842169,4.16769e-06,0.00133671,0.000127058,3.28576e-06,8.4166e-05,0.00492346,15,-37,1.18529e-10,15,-98.3493,61.3493,0.148
0.00690681,0.00842169,4.51346e-06,0.00135536,0.000133965,2.19051e-06,8.87412e-05,0.00483702,15,-37,7.87155e-11,15,-98.3493,61.3493,0.152
0.00690736,0.00842169,4.87778e-06,0.00137333,0.000141052,1.46034e-06,9.34356e-05,0.00472181,15,-38,5.19061e-11,15,-98.3493,60.3493,0.156
0.00690794,0.00842169,5.26111e-06,0.0013906,0.000148318,9.73559e-07,9.82489e-05,0.00458742,15,-40,3.40421e-11,15,-98.3493,58.3493,0.16
0.00690855,0.00842169,5.66393e-06,0.00140719,0.000155764,6.4904e-07,0.000103181,0.00444024,15,-41,2.22286e-11,15,-98.3493,57.3493,0.164
0.00690919,0.00842169,6.08671e-06,0.00142342,0.000163389,4.32693e-07,0.000108232,0.00431334,15,-42,1.45616e-11,15,-98.3493,56.3493,0.168
0.00690986,0.00842169,6.52994e-06,0.00144001,0.000171193,2.88462e-07,0.000113402,0.00425752,15,-42,9.69377e-12,15,-98.3493,56.3493,0.172
0.00691056,0.00842169,6.99409e-06,0.00145659,0.000179176,1.92308e-07,0.00011869,0.00422031,14,-43,6.4798e-12,14,-98.3493,55.3493,0.176
0.00691129,0.00842169,7.47962e-06,0.00147352,0.000187337,1.28205e-07,0.000124096,0.0042243,14,-42,4.3742e-12,14,-98.3493,56.3493,0.18
0.00691206,0.00842169,7.98701e-06,0.00149149,0.000195676,8.54702e-08,0.00012962,0.00431333,14,-41,3.0139e-12,14,-98.3493,57.3493,0.184
0.00691286,0.00842169,8.51673e-06,0.00151083,0.000204194,5.69801e-08,0.000135262,0.00448784,14,-40,2.11768e-12,14,-98.3493,58.3493,0.188
