joint_pos_desired_1, joint_pos_1, joint_vel_desired_1, joint_vel_filtered_1, input torque_1_w.DOB[Nm], DOB Torque Term[Nm], current_time
-0.079673,-0.078811,7.0784e-08,0,-1.39573,0,0.004
-0.079673,-0.0788114,2.83033e-07,-2.87909e-05,-1.33555,0.00615517,0.008
-0.079673,-0.078811,6.36593e-07,9.59697e-06,-1.42822,0.0120649,0.012
-0.079673,-0.078811,1.13131e-06,6.39798e-06,-1.42608,0.0183288,0.016
-0.079673,-0.0788117,1.76703e-06,-5.33165e-05,-1.29429,0.024515,0.02
-0.079673,-0.0788114,2.54359e-06,-6.75343e-06,-1.40427,0.0301669,0.024
-0.079673,-0.0788117,3.46085e-06,-3.32932e-05,-1.34748,0.036228,0.028
-0.079673,-0.0788117,4.51865e-06,-2.21955e-05,-1.37601,0.042038,0.032
-0.0796729,-0.078812,5.71683e-06,-4.35879e-05,-1.33006,0.0479252,0.036
-0.0796729,-0.078812,7.05525e-06,-2.90586e-05,-1.36559,0.0536087,0.04
-0.0796729,-0.0788131,8.53374e-06,-0.000105745,-1.19237,0.059359,0.044
-0.0796728,-0.0788131,1.01522e-05,-7.04968e-05,-1.27357,0.0643976,0.048
-0.0796728,-0.0788138,1.19103e-05,-0.00010458,-1.19643,0.0697235,0.052
-0.0796727,-0.0788152,1.38081e-05,-0.000184884,-1.01265,0.0746514,0.056
-0.0796727,-0.0788152,1.58454e-05,-0.000123256,-1.15183,0.078846,0.06
-0.0796726,-0.0788155,1.8022e-05,-0.000110961,-1.17883,0.0836025,0.064
-0.0796725,-0.0788155,2.03377e-05,-7.39742e-05,-1.26216,0.0884751,0.068
-0.0796725,-0.0788155,2.27924e-05,-4.93162e-05,-1.31755,0.0936861,0.072
-0.0796724,-0.0788155,2.5386e-05,-3.28774e-05,-1.35419,0.0991132,0.076
-0.0796722,-0.0788155,2.81183e-05,-2.19183e-05,-1.3782,0.104674,0.08
-0.0796721,-0.0788155,3.09891e-05,-1.46122e-05,-1.39369,0.110315,0.084
-0.079672,-0.0788155,3.39983e-05,-9.74146e-06,-1.40336,0.115997,0.088
-0.0796719,-0.0788155,3.71457e-05,-6.49431e-06,-1.40903,0.121696,0.092
