joint_pos_desired_1, joint_pos_1, joint_vel_desired_1, joint_vel_filtered_1, input torque_1_w.DOB[Nm], DOB Torque Term[Nm], current_time
-0.046564,-0.0455582,7.0784e-08,0,-1.62865,0,0.004
-0.046564,-0.0455603,2.83033e-07,-0.000172746,-1.24022,0.00708262,0.008
-0.046564,-0.0455603,6.36593e-07,-0.000115164,-1.37544,0.0125802,0.012
-0.046564,-0.0455599,1.13131e-06,-4.79849e-05,-1.53323,0.0186587,0.016
-0.046564,-0.0455603,1.76703e-06,-6.07808e-05,-1.50888,0.0253512,0.02
-0.046564,-0.0455603,2.54359e-06,-4.05206e-05,-1.5596,0.0319301,0.024
-0.046564,-0.0455603,3.46085e-06,-2.70137e-05,-1.59487,0.0386993,0.028
-0.046564,-0.0455606,4.51865e-06,-4.68001e-05,-1.55388,0.0455709,0.032
-0.0465639,-0.0455606,5.71683e-06,-3.12e-05,-1.59316,0.052256,0.036
-0.0465639,-0.0455606,7.05525e-06,-2.08e-05,-1.62046,0.0590815,0.04
-0.0465639,-0.0455606,8.53374e-06,-1.38667e-05,-1.63967,0.0659953,0.044
-0.0465638,-0.0455606,1.01522e-05,-9.24446e-06,-1.65336,0.0729617,0.048
-0.0465638,-0.0455606,1.19103e-05,-6.16297e-06,-1.66326,0.0799569,0.052
-0.0465637,-0.0455606,1.38081e-05,-4.10865e-06,-1.67052,0.0869641,0.056
-0.0465637,-0.0455606,1.58454e-05,-2.7391e-06,-1.6759,0.093972,0.06
-0.0465636,-0.0455606,1.8022e-05,-1.82607e-06,-1.6799,0.100972,0.064
-0.0465635,-0.0455609,2.03377e-05,-3.00083e-05,-1.61702,0.107939,0.068
-0.0465635,-0.0455613,2.27924e-05,-4.87965e-05,-1.5748,0.114602,0.072
-0.0465634,-0.0455603,2.5386e-05,5.38418e-05,-1.80965,0.121137,0.076
-0.0465632,-0.0455603,2.81183e-05,3.58945e-05,-1.77003,0.128595,0.08
-0.0465631,-0.0455603,3.09891e-05,2.39297e-05,-1.74343,0.13585,0.084
-0.046563,-0.0455609,3.39983e-05,-4.16287e-05,-1.59369,0.142916,0.088
-0.0465629,-0.0455609,3.71457e-05,-2.77525e-05,-1.62419,0.149345,0.092
-0.0465627,-0.0455609,4.04312e-05,-1.85017e-05,-1.64398,0.155878,0.096
-0.0465625,-0.0455609,4.38547e-05,-1.23344e-05,-1.65649,0.162467,0.1
-0.0465624,-0.0455609,4.74159e-05,-8.22296e-06,-1.66404,0.16908,0.104
-0.0465622,-0.0455609,5.11147e-05,-5.48197e-06,-1.66814,0.175697,0.108
-0.0465619,-0.0455609,5.4951e-05,-3.65465e-06,-1.66982,0.182302,0.112
-0.0465617,-0.0455606,5.89247e-05,2.63545e-05,-1.73562,0.188906,0.116
-0.0465615,-0.0455613,6.30354e-05,-4.00122e-05,-1.5811,0.195702,0.12
-0.0465612,-0.0455613,6.72832e-05,-2.66748e-05,-1.6074,0.201842,0.124
-0.0465609,-0.0455613,7.16679e-05,-1.77832e-05,-1.62337,0.208067,0.128
-0.0465606,-0.0455613,7.61893e-05,-1.18555e-05,-1.63233,0.214334,0.132
-0.0465603,-0.0455613,8.08472e-05,-7.90364e-06,-1.63647,0.220611,0.136
-0.04656,-0.0455613,8.56415e-05,-5.26909e-06,-1.63728,0.226878,0.14
-0.0465596,-0.0455613,9.0572e-05,-3.51273e-06,-1.63573,0.23312,0.144
-0.0465593,-0.0455613,9.56387e-05,-2.34182e-06,-1.63248,0.239327,0.148
-0.0465589,-0.0455613,0.000100841,-1.56121e-06,-1.62797,0.245492,0.152
-0.0465585,-0.0455613,0.00010618,-1.04081e-06,-1.62247,0.25161,0.156
-0.046558,-0.0455613,0.000111654,-6.93873e-07,-1.61618,0.257676,0.16
-0.0465576,-0.0455613,0.000117263,-4.62582e-07,-1.60924,0.263687,0.164
-0.0465571,-0.0455613,0.000123008,-3.08388e-07,-1.60172,0.269641,0.168
-0.0465566,-0.0455613,0.000128888,-2.05592e-07,-1.59367,0.275535,0.172
-0.0465561,-0.0455613,0.000134903,-1.37061e-07,-1.58515,0.281367,0.176
-0.0465555,-0.0455613,0.000141053,-9.13742e-08,-1.57616,0.287136,0.18
-0.0465549,-0.0455613,0.000147338,-6.09161e-08,-1.56673,0.29284,0.184
