joint_pos_desired_1, joint_pos_1, joint_vel_desired_1, joint_vel_filtered_1, input torque_1_w.DOB[Nm], DOB Torque Term[Nm], current_time
1.48212,1.481,-7.0784e-08,0,1.81384,0,0.004
1.48212,1.481,-2.83033e-07,2.87909e-05,1.7555,-0.00800519,0.008
1.48212,1.481,-6.36593e-07,1.91939e-05,1.78417,-0.0157444,0.012
1.48212,1.481,-1.13131e-06,1.2796e-05,1.80536,-0.0235738,0.016
1.48212,1.481,-1.76703e-06,3.73216e-05,1.75559,-0.0314403,0.02
1.48212,1.481,-2.54359e-06,0.000168836,1.46036,-0.038975,0.024
1.48212,1.48101,-3.46085e-06,0.000285303,1.19704,-0.0451808,0.028
1.48212,1.48101,-4.51865e-06,0.000391738,0.954386,-0.0502013,0.032
1.48212,1.48101,-5.71683e-06,0.000462695,0.790775,-0.0541513,0.036
1.48212,1.48101,-7.05525e-06,0.000452418,0.811446,-0.057418,0.04
1.48212,1.48101,-8.53374e-06,0.000387985,0.955807,-0.0608006,0.044
1.48212,1.48101,-1.01522e-05,0.000287448,1.18346,-0.0648328,0.048
1.48212,1.48101,-1.19103e-05,0.000191632,1.40163,-0.0698512,0.052
1.48212,1.48101,-1.38081e-05,0.000127754,1.54798,-0.0757898,0.056
1.48212,1.48101,-1.58454e-05,8.51696e-05,1.64634,-0.0823345,0.06
1.48212,1.48101,-1.8022e-05,5.67798e-05,1.71258,-0.0892752,0.064
1.48212,1.48101,-2.03377e-05,3.78532e-05,1.75729,-0.0964715,0.068
1.48212,1.48101,-2.27924e-05,2.52354e-05,1.78752,-0.103829,0.072
1.48212,1.48101,-2.5386e-05,1.68236e-05,1.80799,-0.111285,0.076
1.48212,1.48101,-2.81183e-05,1.12158e-05,1.82183,-0.118797,0.08
1.48212,1.48101,-3.09891e-05,7.47717e-06,1.83112,-0.126335,0.084
1.48212,1.48101,-3.39983e-05,4.98478e-06,1.83726,-0.13388,0.088
1.48212,1.48101,-3.71457e-05,3.32319e-06,1.84118,-0.141418,0.092
1.48212,1.48101,-4.04312e-05,5.97973e-05,1.71178,-0.148899,0.096
1.48212,1.48101,-4.38547e-05,1.10739e-05,1.8217,-0.155849,0.1
1.48212,1.48101,-4.74159e-05,7.38263e-06,1.82905,-0.163223,0.104
1.48212,1.48101,-5.11147e-05,4.92175e-06,1.83327,-0.170596,0.108
1.48212,1.48101,-5.4951e-05,3.28117e-06,1.83529,-0.177954,0.112
1.48212,1.48101,-5.89247e-05,2.18745e-06,1.8357,-0.185288,0.116
1.48212,1.48101,-6.30354e-05,1.4583e-06,1.83492,-0.192591,0.12
1.48212,1.48101,-6.72832e-05,9.72198e-07,1.83321,-0.199858,0.124
1.48212,1.48101,-7.16679e-05,6.48132e-07,1.83076,-0.207086,0.128
1.48212,1.48101,-7.61893e-05,4.32088e-07,1.82769,-0.21427,0.132
1.48212,1.48101,-8.08472e-05,2.88059e-07,1.82406,-0.22141,0.136
1.48212,1.48101,-8.56415e-05,1.92039e-07,1.81994,-0.228501,0.14
1.48212,1.48101,-9.0572e-05,1.28026e-07,1.81535,-0.235543,0.144
1.48212,1.48101,-9.56387e-05,8.53507e-08,1.81033,-0.242533,0.148
1.48212,1.48101,-0.000100841,5.69005e-08,1.80488,-0.24947,0.152
1.48212,1.48101,-0.00010618,3.79337e-08,1.79901,-0.256353,0.156
1.48212,1.48101,-0.000111654,2.52891e-08,1.79272,-0.263179,0.16
1.48212,1.48101,-0.000117263,1.68594e-08,1.78603,-0.269946,0.164
1.48212,1.48101,-0.000123008,1.12396e-08,1.77893,-0.276655,0.168
1.48211,1.48101,-0.000128888,7.49307e-09,1.77141,-0.283302,0.172
1.48211,1.48101,-0.000134903,4.99538e-09,1.76349,-0.289887,0.176
1.48211,1.48101,-0.000141053,3.33025e-09,1.75516,-0.296407,0.18
1.48211,1.48101,-0.000147338,2.22017e-09,1.74641,-0.302862,0.184
1.48211,1.48101,-0.000153757,1.48011e-09,1.73725,-0.309249,0.188
1.48211,1.48101,-0.00016031,9.86742e-10,1.72767,-0.315568,0.192
1.48211,1.48101,-0.000166998,6.57828e-10,1.71768,-0.321816,0.196
1.48211,1.48101,-0.00017382,4.38552e-10,1.70726,-0.327992,0.2
1.48211,1.48101,-0.000180776,2.92368e-10,1.69642,-0.334095,0.204
1.48211,1.48101,-0.000187866,1.94912e-10,1.68516,-0.340123,0.208
1.48211,1.48101,-0.00019509,1.29941e-10,1.67347,-0.346075,0.212
1.48211,1.48101,-0.000202447,8.66275e-11,1.66136,-0.351948,0.216
1.48211,1.48101,-0.000209937,5.77517e-11,1.64881,-0.357742,0.22
1.48211,1.48101,-0.00021756,3.85011e-11,1.63584,-0.363455,0.224
1.4821,1.48101,-0.000225317,2.56674e-11,1.62243,-0.369085,0.228
1.4821,1.48101,-0.000233207,1.71116e-11,1.60858,-0.37463,0.232
1.4821,1.48101,-0.000241229,1.14077e-11,1.59429,-0.38009,0.236
1.4821,1.48101,-0.000249384,7.60516e-12,1.57957,-0.385463,0.24
1.4821,1.48101,-0.000257671,5.07011e-12,1.5644,-0.390747,0.244
1.4821,1.48101,-0.000266091,3.38007e-12,1.54878,-0.39594,0.248
1.4821,1.48101,-0.000274642,2.25338e-12,1.53272,-0.401041,0.252
1.4821,1.48101,-0.000283326,1.50225e-12,1.51622,-0.406048,0.256
1.4821,1.48101,-0.000292142,1.0015e-12,1.49926,-0.410961,0.26
1.4821,1.48101,-0.000301089,6.67668e-13,1.48184,-0.415776,0.264
1.48209,1.48101,-0.000310168,4.45112e-13,1.46398,-0.420493,0.268
1.48209,1.48101,-0.000319378,2.96741e-13,1.44565,-0.42511,0.272
1.48209,1.48101,-0.00032872,1.97828e-13,1.42687,-0.429626,0.276
1.48209,1.48101,-0.000338192,1.31885e-13,1.40762,-0.434039,0.28
1.48209,1.48101,-0.000347796,8.79234e-14,1.38792,-0.438346,0.284
1.48209,1.48101,-0.00035753,5.86156e-14,1.36774,-0.442548,0.288
1.48209,1.48101,-0.000367395,3.90771e-14,1.3471,-0.446642,0.292
1.48208,1.48101,-0.00037739,2.60514e-14,1.32599,-0.450626,0.296
1.48208,1.48101,-0.000387516,1.73676e-14,1.30441,-0.4545,0.3
1.48208,1.48101,-0.000397772,2.87909e-05,1.2165,-0.45824,0.304
1.48208,1.48101,-0.000408158,-9.59697e-06,1.2813,-0.461622,0.308
1.48208,1.48101,-0.000418674,-6.39798e-06,1.25113,-0.465247,0.312
1.48208,1.48101,-0.00042932,-4.26532e-06,1.22287,-0.468723,0.316
