joint_pos_desired_1, joint_pos_1, joint_vel_desired_1, joint_vel_filtered_1, input torque_1_w.DOB[Nm], DOB Torque Term[Nm], current_time
1.4935,1.49274,-7.0784e-08,0,1.23523,0,0.004
1.4935,1.49274,-2.83033e-07,-3.83879e-05,1.32231,-0.549005,0.008
1.4935,1.49274,-6.36593e-07,-2.13266e-05,1.2828,-1.13669,0.012
1.4935,1.49274,-1.13131e-06,-1.18481e-05,1.26017,-1.70682,0.016
1.4935,1.49274,-1.76703e-06,7.01935e-05,1.07157,-2.26686,0.02
1.4935,1.49274,-2.54359e-06,0.000269324,0.614953,-2.74304,0.024
1.4935,1.49274,-3.46085e-06,0.000341564,0.446253,-3.01632,0.028
1.4935,1.49274,-4.51865e-06,0.000458473,0.174836,-3.21461,0.032
1.4935,1.49275,-5.71683e-06,0.000523423,0.0208953,-3.29229,0.036
1.4935,1.49275,-7.05525e-06,0.00048273,0.107257,-3.30159,0.04
1.4935,1.49275,-8.53374e-06,0.000344959,0.415063,-3.34932,0.044
1.4935,1.49275,-1.01522e-05,0.00026842,0.58372,-3.53382,0.048
1.4935,1.49275,-1.19103e-05,0.000264286,0.587334,-3.79325,0.052
1.4935,1.49275,-1.38081e-05,0.000108438,0.93682,-4.05435,0.056
1.4935,1.49275,-1.58454e-05,9.8631e-05,0.953756,-4.47072,0.06
1.4935,1.49275,-1.8022e-05,5.4795e-05,1.04807,-4.89463,0.064
1.4935,1.49275,-2.03377e-05,6.88296e-05,1.0103,-5.36043,0.068
1.4935,1.49275,-2.27924e-05,7.66265e-05,0.986334,-5.80945,0.072
1.4935,1.49275,-2.5386e-05,4.1824e-06,1.14508,-6.24785,0.076
1.4935,1.49275,-2.81183e-05,7.90994e-05,0.96772,-6.75675,0.08
1.4935,1.49275,-3.09891e-05,8.2332e-05,0.953109,-7.18684,0.084
1.4935,1.49275,-3.39983e-05,4.574e-05,1.02901,-7.61046,0.088
1.4935,1.49275,-3.71457e-05,2.54111e-05,1.06771,-8.06781,0.092
1.4935,1.49275,-4.04312e-05,1.41173e-05,1.0856,-8.54235,0.096
1.4935,1.49275,-4.38547e-05,7.84293e-06,1.09177,-9.02484,0.1
1.4935,1.49275,-4.74159e-05,4.27451e-05,1.00369,-9.51006,0.104
1.4935,1.49275,-5.11147e-05,-1.46406e-05,1.12562,-9.95616,0.108
1.4935,1.49275,-5.4951e-05,3.02542e-05,1.01421,-10.4564,0.112
