joint_pos_desired_1, joint_pos_1, joint_vel_desired_1, joint_vel_filtered_1, input torque_1_w.DOB[Nm], DOB Torque Term[Nm], current_time
-0.093613,-0.0928169,7.0784e-08,0,-1.28907,0,0.004
-0.093613,-0.0928169,2.83033e-07,0,-1.28857,0.00513574,0.008
-0.093613,-0.0928169,6.36593e-07,0,-1.28774,0.0102695,0.012
-0.093613,-0.0928169,1.13131e-06,0,-1.28659,0.0153999,0.016
-0.093613,-0.0928169,1.76703e-06,0,-1.28512,0.0205258,0.02
-0.093613,-0.0928165,2.54359e-06,3.83879e-05,-1.37091,0.0256705,0.024
-0.093613,-0.0928162,3.46085e-06,5.97145e-05,-1.4177,0.0311461,0.028
-0.093613,-0.0928158,4.51865e-06,7.15626e-05,-1.44267,0.0368019,0.032
-0.0936129,-0.0928158,5.71683e-06,3.9757e-05,-1.36779,0.0425291,0.036
-0.0936129,-0.0928162,7.05525e-06,-1.63007e-05,-1.23704,0.0479423,0.04
-0.0936129,-0.0928158,8.53374e-06,2.9332e-05,-1.33763,0.0529002,0.044
-0.0936128,-0.0928158,1.01522e-05,1.62955e-05,-1.30432,0.058221,0.048
-0.0936128,-0.0928158,1.19103e-05,9.05308e-06,-1.28382,0.0634128,0.052
-0.0936127,-0.0928158,1.38081e-05,5.02949e-06,-1.27029,0.0685251,0.056
-0.0936127,-0.0928158,1.58454e-05,2.79416e-06,-1.26049,0.0735845,0.06
-0.0936126,-0.0928158,1.8022e-05,1.55231e-06,-1.25261,0.0786056,0.064
-0.0936125,-0.0928158,2.03377e-05,8.62395e-07,-1.24565,0.0835956,0.068
-0.0936125,-0.0928158,2.27924e-05,4.79108e-07,-1.23905,0.0885581,0.072
-0.0936124,-0.0928158,2.5386e-05,2.66171e-07,-1.23251,0.0934944,0.076
-0.0936122,-0.0928158,2.81183e-05,1.47873e-07,-1.22585,0.0984047,0.08
-0.0936121,-0.0928158,3.09891e-05,8.21516e-08,-1.21898,0.103289,0.084
-0.093612,-0.0928158,3.39983e-05,4.56398e-08,-1.21184,0.108145,0.088
