joint_pos_desired_1, joint_pos_1, joint_vel_desired_1, joint_vel_filtered_1, input torque_1_w.DOB[Nm], DOB Torque Term1[Nm], DOB Torque Term2[Nm], current_time
-0.268586,-0.267781,0.00019509,-9.78113e-11,-0.86067,5.06688e-10,0.899373,0.212
-0.268585,-0.267781,0.000202447,-5.43396e-11,-0.842681,2.98876e-10,0.882172,0.216
-0.268585,-0.267781,0.000209937,-3.01887e-11,-0.824342,1.75699e-10,0.864621,0.22
-0.268584,-0.267781,0.00021756,-1.67715e-11,-0.805652,1.02975e-10,0.846719,0.224
-0.268583,-0.267781,0.000225317,-9.31749e-12,-0.786611,6.01891e-11,0.828467,0.228
-0.268582,-0.267781,0.000233207,-5.17638e-12,-0.767218,3.50942e-11,0.809865,0.232
-0.268581,-0.267781,0.000241229,-2.87577e-12,-0.747472,2.04167e-11,0.79091,0.236
-0.26858,-0.267781,0.000249384,-1.59765e-12,-0.727373,1.18537e-11,0.771604,0.24
-0.268579,-0.267781,0.000257671,-8.87583e-13,-0.706921,6.86929e-12,0.751946,0.244
-0.268578,-0.267781,0.000266091,-4.93102e-13,-0.686114,3.97401e-12,0.731935,0.248
-0.268577,-0.267781,0.000274642,-2.73945e-13,-0.664953,2.29541e-12,0.71157,0.252
-0.268576,-0.267781,0.000283326,-1.52192e-13,-0.643437,1.32391e-12,0.690851,0.256
-0.268575,-0.267781,0.000292142,-8.4551e-14,-0.621566,7.62554e-13,0.669778,0.26
-0.268573,-0.267781,0.000301089,-4.69728e-14,-0.599338,4.38667e-13,0.64835,0.264
-0.268572,-0.267781,0.000310168,-2.6096e-14,-0.576754,2.52052e-13,0.626567,0.268
-0.268571,-0.267781,0.000319378,-1.44978e-14,-0.553812,1.44666e-13,0.604428,0.272
-0.26857,-0.267781,0.00032872,-8.05432e-15,-0.530513,8.29466e-14,0.581932,0.276
-0.268568,-0.267781,0.000338192,-4.47462e-15,-0.506856,4.75128e-14,0.559079,0.28
-0.268567,-0.267781,0.000347796,-2.4859e-15,-0.48284,2.71912e-14,0.535869,0.284
-0.268565,-0.267781,0.00035753,-1.38106e-15,-0.458465,1.5548e-14,0.512301,0.288
-0.268564,-0.267781,0.000367395,-7.67254e-16,-0.433731,8.88321e-15,0.488374,0.292
-0.268563,-0.267781,0.00037739,-4.26252e-16,-0.408636,5.07147e-15,0.464088,0.296
-0.268561,-0.267781,0.000387516,-2.36807e-16,-0.383181,2.89323e-15,0.439443,0.3
-0.268559,-0.267781,0.000397772,-1.31559e-16,-0.357364,1.64943e-15,0.414438,0.304
-0.268558,-0.267781,0.000408158,-7.30885e-17,-0.331186,9.39732e-16,0.389072,0.308
-0.268556,-0.267781,0.000418674,-4.06047e-17,-0.304646,5.35062e-16,0.363345,0.312
-0.268554,-0.267781,0.00042932,-2.25582e-17,-0.277743,3.04473e-16,0.337256,0.316
-0.268553,-0.267781,0.000440095,-1.25323e-17,-0.250477,1.7316e-16,0.310806,0.32
-0.268551,-0.267781,0.000450999,-6.9624e-18,-0.222847,9.84274e-17,0.283993,0.324
-0.268549,-0.267781,0.000462033,-3.868e-18,-0.194853,5.59192e-17,0.256817,0.328
-0.268547,-0.267781,0.000473197,-2.14889e-18,-0.166495,3.17536e-17,0.229278,0.332
-0.268545,-0.26778,0.000484489,3.83879e-05,-0.225363,1.53496e-05,0.201374,0.336
-0.268543,-0.26778,0.00049591,2.13266e-05,-0.157592,1.70551e-06,0.212036,0.34
-0.268541,-0.26778,0.000507459,1.18481e-05,-0.106647,-2.84251e-06,0.187839,0.344
-0.268539,-0.26778,0.000519137,6.58229e-06,-0.0648867,-3.68474e-06,0.151754,0.348
-0.268537,-0.26778,0.000530944,3.65683e-06,-0.0280649,-3.21684e-06,0.113146,0.352
-0.268535,-0.26778,0.000542879,2.03157e-06,0.0061767,-2.437e-06,0.0753322,0.356
-0.268533,-0.267781,0.000554942,-3.72592e-05,0.12674,-1.70645e-05,0.039106,0.36
-0.268531,-0.267781,0.000567132,-2.06996e-05,0.12049,-2.85882e-06,-0.0346035,0.364
-0.268528,-0.26778,0.000579451,2.68881e-05,0.0437037,1.74399e-05,-0.0727754,0.368
