joint_pos_desired_1, joint_pos_1, joint_vel_desired_1, joint_vel_filtered_1, input torque_1_w.DOB[Nm], DOB Torque Term[Nm], current_time
1.4755,1.47488,-7.0784e-08,0,1.00318,0,0.004
1.4755,1.47488,-2.83033e-07,0,1.00267,-0.00796172,0.008
1.4755,1.47488,-6.36593e-07,0,1.00184,-0.0158562,0.012
1.4755,1.47488,-1.13131e-06,-3.83879e-05,1.08829,-0.0237309,0.016
1.4755,1.47488,-1.76703e-06,1.70613e-05,0.96054,-0.0321085,0.02
1.4755,1.47488,-2.54359e-06,9.47849e-06,0.975934,-0.0394867,0.024
1.4755,1.47488,-3.46085e-06,5.26583e-06,0.983363,-0.0469243,0.028
1.4755,1.47488,-4.51865e-06,2.92546e-06,0.986222,-0.0543593,0.032
1.4755,1.47488,-5.71683e-06,1.62526e-06,0.986398,-0.0617567,0.036
1.4755,1.47488,-7.05525e-06,9.0292e-07,0.984937,-0.0690961,0.04
1.4755,1.47488,-8.53374e-06,5.01622e-07,0.982422,-0.0763652,0.044
1.4755,1.47488,-1.01522e-05,2.78679e-07,0.979175,-0.0835564,0.048
1.4755,1.47488,-1.19103e-05,1.54822e-07,0.975376,-0.0906646,0.052
1.4755,1.47488,-1.38081e-05,8.6012e-08,0.971123,-0.0976862,0.056
1.4755,1.47488,-1.58454e-05,4.77845e-08,0.966473,-0.104618,0.06
1.4755,1.47488,-1.8022e-05,2.65469e-08,0.961454,-0.111458,0.064
1.4755,1.47488,-2.03377e-05,3.84026e-05,0.868492,-0.118155,0.068
1.4755,1.47488,-2.27924e-05,2.13348e-05,0.901461,-0.124132,0.072
1.4755,1.47488,-2.5386e-05,1.18527e-05,0.9169,-0.130314,0.076
1.4755,1.47488,-2.81183e-05,-3.18031e-05,1.01004,-0.136612,0.08
1.4755,1.47488,-3.09891e-05,-1.76684e-05,0.971276,-0.143526,0.084
1.4755,1.47488,-3.39983e-05,2.85721e-05,0.858826,-0.150036,0.088
1.4755,1.47488,-3.71457e-05,-2.25145e-05,0.967819,-0.155727,0.092
1.4755,1.47488,-4.04312e-05,-1.25081e-05,0.937411,-0.16216,0.096
1.4755,1.47488,-4.38547e-05,-6.94892e-06,0.91675,-0.168305,0.1
1.4755,1.47488,-4.74159e-05,-3.86051e-06,0.901357,-0.174241,0.104
1.4755,1.47488,-5.11147e-05,-2.14473e-06,0.888739,-0.18001,0.108
1.4755,1.47488,-5.4951e-05,-1.19152e-06,0.877515,-0.185633,0.112
1.4755,1.47488,-5.89247e-05,-6.61953e-07,0.866915,-0.191124,0.116
1.4755,1.47488,-6.30354e-05,3.80201e-05,0.768919,-0.196438,0.12
1.4755,1.47488,-6.72832e-05,-1.72656e-05,0.884746,-0.201052,0.124
1.4755,1.47488,-7.16679e-05,-9.592e-06,0.856936,-0.206468,0.128
1.4755,1.47488,-7.61893e-05,-5.32889e-06,0.836519,-0.211625,0.132
1.4755,1.47488,-8.08472e-05,3.54274e-05,0.732467,-0.216532,0.136
1.4755,1.47488,-8.56415e-05,-1.8706e-05,0.844326,-0.220697,0.14
1.4755,1.47488,-9.0572e-05,-1.03922e-05,0.813706,-0.225636,0.144
1.4755,1.47488,-9.56387e-05,-5.77346e-06,0.791122,-0.230297,0.148
1.47549,1.47488,-0.000100841,-3.20748e-06,0.772851,-0.234745,0.152
1.47549,1.47488,-0.00010618,-1.78193e-06,0.756824,-0.239013,0.156
1.47549,1.47488,-0.000111654,3.73979e-05,0.654299,-0.243073,0.16
1.47549,1.47488,-0.000117263,2.07766e-05,0.678501,-0.246358,0.164
1.47549,1.47488,-0.000123008,-2.68453e-05,0.773203,-0.249849,0.168
1.47549,1.47488,-0.000128888,-1.49141e-05,0.731984,-0.253987,0.172
1.47549,1.47488,-0.000134903,-8.28559e-06,0.702443,-0.257772,0.176
1.47549,1.47488,-0.000141053,-4.60311e-06,0.679236,-0.261296,0.18
1.47549,1.47488,-0.000147338,-2.55728e-06,0.659393,-0.264611,0.184
