joint_pos_desired_1, joint_pos_1, joint_vel_desired_1, joint_vel_filtered_1, input torque_1_w.DOB[Nm], DOB Torque Term[Nm], current_time
-0.058,-0.0603476,-7.0784e-08,0,3.80158,0,0.004
-0.058,-0.060348,-2.83033e-07,-3.83879e-05,5.57827,-1.68961,0.008
-0.058,-0.0603462,-6.36593e-07,0.000170613,6.82902,-3.41782,0.012
-0.058,-0.0603417,-1.13131e-06,0.000593828,7.37701,-4.93374,0.016
-0.058,-0.0603352,-1.76703e-06,0.00105927,7.39537,-6.01945,0.02
-0.058,-0.0603276,-2.54359e-06,0.00143302,7.14529,-6.63082,0.024
-0.058,-0.0603196,-3.46085e-06,0.00167904,6.80107,-6.85937,0.028
-0.058,-0.0603113,-4.51865e-06,0.00185411,6.36231,-6.83339,0.032
-0.0580001,-0.0603027,-5.71683e-06,0.00198976,5.82859,-6.62397,0.036
-0.0580001,-0.0602941,-7.05525e-06,0.00206512,5.28711,-6.27043,0.04
-0.0580001,-0.0602854,-8.53374e-06,0.00210699,4.73773,-5.83339,0.044
-0.0580002,-0.0602764,-1.01522e-05,0.00216863,4.09269,-5.3464,0.048
-0.0580002,-0.0602678,-1.19103e-05,0.00216449,3.5268,-4.7892,0.052
-0.0580003,-0.0602599,-1.38081e-05,0.00208542,3.12776,-4.22816,0.056
-0.0580003,-0.0602519,-1.58454e-05,0.00204149,2.72071,-3.73911,0.06
-0.0580004,-0.060245,-1.8022e-05,0.00190192,2.56831,-3.28655,0.064
-0.0580005,-0.0602381,-2.03377e-05,0.00182438,2.40834,-2.96736,0.068
-0.0580005,-0.0602326,-2.27924e-05,0.00162775,2.59107,-2.71898,0.072
-0.0580006,-0.0602281,-2.5386e-05,0.00140335,3.02974,-2.66222,0.076
-0.0580008,-0.060225,-2.81183e-05,0.00112513,3.81253,-2.82567,0.08
-0.0580009,-0.0602229,-3.09891e-05,0.000855399,4.85269,-3.26439,0.084
-0.058001,-0.0602219,-3.39983e-05,0.000590385,6.15081,-3.9704,0.088
-0.0580011,-0.0602215,-3.71457e-05,0.00036638,7.61988,-4.93956,0.092
-0.0580013,-0.0602212,-4.04312e-05,0.000241932,9.08504,-6.13086,0.096
-0.0580015,-0.0602201,-4.38547e-05,0.00024957,10.371,-7.44383,0.1
-0.0580016,-0.0602184,-4.74159e-05,0.00033059,11.477,-8.74474,0.104
-0.0580018,-0.0602146,-5.11147e-05,0.000605928,12.0521,-9.95896,0.108
-0.0580021,-0.0602094,-5.4951e-05,0.000912445,11.3807,-10,0.112
-0.0580023,-0.0602025,-5.89247e-05,0.00127467,10.5389,-10,0.116
-0.0580025,-0.0601953,-6.30354e-05,0.0015143,9.97417,-10,0.12
-0.0580028,-0.060187,-6.72832e-05,0.00176259,9.38775,-10,0.124
-0.0580031,-0.0601783,-7.16679e-05,0.00193891,8.94877,-9.98518,0.128
-0.0580034,-0.0601693,-7.61893e-05,0.00207526,8.15366,-9.5245,0.132
-0.0580037,-0.06016,-8.08472e-05,0.00218939,7.2594,-8.91519,0.136
-0.058004,-0.0601497,-8.56415e-05,0.00236797,6.09034,-8.17921,0.14
-0.0580044,-0.0601383,-9.0572e-05,0.00258234,4.64562,-7.25074,0.144
-0.0580047,-0.0601269,-9.56387e-05,0.00270143,3.18716,-6.09286,0.148
-0.0580051,-0.0601155,-0.000100841,0.0027676,1.71479,-4.80141,0.152
-0.0580055,-0.0601058,-0.00010618,0.00261241,0.666382,-3.42964,0.156
-0.058006,-0.0600975,-0.000111654,0.00237265,-0.0446178,-2.20162,0.16
-0.0580064,-0.0600909,-0.000117263,0.00204751,-0.329775,-1.20342,0.164
-0.0580069,-0.0600864,-0.000123008,0.00163655,-0.100409,-0.522166,0.168
-0.0580074,-0.0600847,-0.000128888,0.00110113,0.820019,-0.24568,0.172
-0.0580079,-0.0600854,-0.000134903,0.000534965,2.34572,-0.501169,0.176
-0.0580085,-0.0600864,-0.000141053,0.000182039,3.95262,-1.32111,0.18
-0.0580091,-0.0600875,-0.000147338,-1.4031e-05,5.55326,-2.49075,0.184
-0.0580097,-0.0600868,-0.000153757,6.89808e-05,6.70947,-3.85183,0.188
-0.0580103,-0.060085,-0.00016031,0.000230262,7.59512,-5.12183,0.192
-0.058011,-0.0600826,-0.000166998,0.000396639,8.29693,-6.221,0.196
-0.0580116,-0.0600799,-0.00017382,0.000527458,8.90185,-7.14358,0.2
-0.0580124,-0.0600757,-0.000180776,0.000753687,9.14666,-7.92494,0.204
-0.0580131,-0.0600705,-0.000187866,0.000994534,9.11782,-8.46783,0.208
-0.0580139,-0.0600647,-0.00019509,0.00120511,8.90205,-8.75663,0.212
-0.0580146,-0.0600581,-0.000202447,0.00139888,8.49869,-8.82118,0.216
-0.0580155,-0.0600505,-0.000209937,0.00162169,7.81947,-8.67776,0.22
-0.0580163,-0.0600419,-0.00021756,0.00186064,6.86349,-8.2962,0.224
-0.0580172,-0.0600318,-0.000225317,0.00214694,5.54226,-7.65933,0.228
-0.0580181,-0.0600211,-0.000233207,0.00238277,4.02984,-6.71832,0.232
-0.0580191,-0.0600101,-0.000241229,0.00255217,2.41317,-5.52337,0.236
-0.0580201,-0.059999,-0.000249384,0.00264629,0.779448,-4.14102,0.24
-0.0580211,-0.0599911,-0.000257671,0.00235308,-0.0830396,-2.64711,0.244
-0.0580221,-0.0599855,-0.000266091,0.00192147,-0.347494,-1.43388,0.248
-0.0580232,-0.0599835,-0.000274642,0.00129781,0.250463,-0.642408,0.252
-0.0580243,-0.0599842,-0.000283326,0.000644231,1.53791,-0.468471,0.256
-0.0580255,-0.0599852,-0.000292142,0.000242743,2.90343,-0.943939,0.26
-0.0580267,-0.0599859,-0.000301089,5.80812e-05,4.17194,-1.8149,0.264
-0.0580279,-0.0599862,-0.000310168,-6.12059e-06,5.34308,-2.8625,0.268
-0.0580291,-0.0599862,-0.000319378,-3.40033e-06,6.41644,-3.96498,0.272
-0.0580304,-0.0599852,-0.00032872,0.000113275,7.21644,-5.05447,0.276
-0.0580318,-0.0599835,-0.000338192,0.00025487,7.82978,-6.01529,0.28
-0.0580331,-0.0599814,-0.000347796,0.000371922,8.34342,-6.82168,0.284
-0.0580346,-0.0599786,-0.00035753,0.000513726,8.66935,-7.49795,0.288
-0.058036,-0.0599755,-0.000367395,0.000630895,8.89451,-8.01853,0.292
-0.0580375,-0.0599717,-0.00037739,0.000772764,8.93089,-8.4078,0.296
-0.058039,-0.0599669,-0.000387516,0.000966744,8.69022,-8.64021,0.3
-0.0580406,-0.0599617,-0.000397772,0.0011129,8.34683,-8.66238,0.304
-0.0580422,-0.0599555,-0.000408158,0.00130926,7.72507,-8.52205,0.308
-0.0580439,-0.0599482,-0.000418674,0.00153351,6.82406,-8.16775,0.312
-0.0580456,-0.0599403,-0.00042932,0.00173487,5.73049,-7.57047,0.316
-0.0580473,-0.059932,-0.000440095,0.00188513,4.53131,-6.75264,0.32
-0.0580491,-0.0599244,-0.000450999,0.00189183,3.48892,-5.76538,0.324
-0.0580509,-0.0599164,-0.000462033,0.00193394,2.34082,-4.75361,0.328
-0.0580528,-0.0599106,-0.000473197,0.001727,1.69983,-3.68134,0.332
-0.0580547,-0.0599054,-0.000484489,0.00153526,1.21683,-2.80074,0.336
-0.0580566,-0.0599019,-0.00049591,0.0012368,1.15496,-2.0969,0.34
-0.0580587,-0.0598999,-0.000507459,0.000917441,1.42769,-1.67839,0.344
-0.0580607,-0.0598995,-0.000519137,0.000548077,2.12344,-1.56711,0.348
-0.0580628,-0.0599002,-0.000530944,0.000227712,3.06808,-1.8145,0.352
-0.058065,-0.0599002,-0.000542879,0.000126506,3.82417,-2.37169,0.356
-0.0580671,-0.0598999,-0.000554942,0.000108669,4.47868,-3.01724,0.36
-0.0580694,-0.0598992,-0.000567132,0.000137148,5.03121,-3.66676,0.364
-0.0580717,-0.0598985,-0.000579451,0.000152969,5.56898,-4.27317,0.368
-0.058074,-0.0598971,-0.000591897,0.000238534,5.9166,-4.84905,0.372
-0.0580764,-0.0598954,-0.000604471,0.000324459,6.16102,-5.32348,0.376
-0.0580789,-0.059893,-0.000617172,0.00044897,6.21423,-5.69567,0.38
-0.0580814,-0.0598895,-0.00063,0.000633307,5.98796,-5.92607,0.384
-0.0580839,-0.0598847,-0.000642956,0.000889268,5.39371,-5.95348,0.388
-0.0580865,-0.0598798,-0.000656038,0.00103147,4.78076,-5.70464,0.392
-0.0580892,-0.0598736,-0.000669247,0.00126402,3.79849,-5.29393,0.396
-0.0580919,-0.0598667,-0.000682583,0.00146999,2.62097,-4.62921,0.4
-0.0580946,-0.0598612,-0.000696045,0.00143087,1.77318,-3.73668,0.404
-0.0580974,-0.0598563,-0.000709633,0.00133236,1.08068,-2.86405,0.408
-0.0581003,-0.0598529,-0.000723347,0.00112408,0.719017,-2.07153,0.412
-0.0581032,-0.0598508,-0.000737188,0.000854815,0.688988,-1.47052,0.416
-0.0581062,-0.0598505,-0.000751154,0.000513285,1.07902,-1.12331,0.42
-0.0581092,-0.0598515,-0.000765246,0.000169995,1.80257,-1.10376,0.424
-0.0581123,-0.0598522,-0.000779464,1.76657e-05,2.42243,-1.41441,0.428
-0.0581155,-0.0598522,-0.000793807,9.81427e-06,2.85061,-1.86242,0.432
-0.0581187,-0.0598518,-0.000808275,4.38403e-05,3.17409,-2.3016,0.436
-0.0581219,-0.0598512,-0.000822869,0.000101132,3.39243,-2.68935,0.44
-0.0581252,-0.0598512,-0.000837587,5.61842e-05,3.76807,-3.00185,0.444
-0.0581286,-0.0598512,-0.00085243,3.12134e-05,4.12609,-3.3424,0.448
-0.0581321,-0.0598512,-0.000867398,1.73408e-05,4.46633,-3.69071,0.452
-0.0581356,-0.0598512,-0.000882491,9.63377e-06,4.78862,-4.03543,0.456
-0.0581391,-0.0598508,-0.000897707,4.374e-05,5.00518,-4.37017,0.46
-0.0581427,-0.0598508,-0.000913048,2.43e-05,5.29082,-4.6524,0.464
-0.0581464,-0.0598505,-0.000928513,5.18879e-05,5.4704,-4.93613,0.468
-0.0581502,-0.0598501,-0.000944102,6.72145e-05,5.63111,-5.17358,0.472
-0.058154,-0.0598498,-0.000959815,7.57293e-05,5.77279,-5.37693,0.476
-0.0581579,-0.0598494,-0.000975652,8.04597e-05,5.89524,-5.55286,0.48
-0.0581618,-0.0598487,-0.000991611,0.000121476,5.91071,-5.70502,0.484
-0.0581658,-0.059848,-0.00100769,0.000144262,5.90639,-5.79643,0.488
-0.0581698,-0.0598467,-0.0010239,0.000233697,5.70688,-5.84526,0.492
-0.058174,-0.0598446,-0.00104023,0.000360159,5.31152,-5.78371,0.496
-0.0581782,-0.0598435,-0.00105668,0.000315252,5.15771,-5.57387,0.5
-0.0581824,-0.0598422,-0.00107326,0.000328692,4.89554,-5.3889,0.504
-0.0581868,-0.0598401,-0.00108996,0.000412934,4.437,-5.16959,0.508
-0.0581912,-0.0598397,-0.00110678,0.000267796,4.39468,-4.84405,0.512
-0.0581956,-0.0598394,-0.00112372,0.000187163,4.33159,-4.64437,0.516
-0.0582001,-0.0598394,-0.00114078,0.00010398,4.33516,-4.50539,0.52
-0.0582047,-0.0598394,-0.00115797,5.77664e-05,4.31786,-4.42975,0.524
-0.0582094,-0.0598394,-0.00117528,3.20925e-05,4.27954,-4.38003,0.528
-0.0582141,-0.0598394,-0.00119271,1.78291e-05,4.22001,-4.33537,0.532
-0.0582189,-0.0598394,-0.00121026,9.90508e-06,4.13911,-4.2841,0.536
-0.0582238,-0.0598394,-0.00122793,5.50282e-06,4.03667,-4.21966,0.54
-0.0582288,-0.0598394,-0.00124573,3.05712e-06,3.9125,-4.13833,0.544
-0.0582338,-0.0598397,-0.00126364,-3.66895e-05,3.85406,-4.03798,0.548
-0.0582389,-0.0598397,-0.00128168,-2.03831e-05,3.68619,-3.95623,0.552
-0.058244,-0.0598397,-0.00129984,-1.13239e-05,3.49608,-3.83621,0.556
-0.0582493,-0.0598397,-0.00131812,-6.29107e-06,3.28356,-3.68504,0.56
-0.0582546,-0.0598397,-0.00133651,-3.49504e-06,3.04845,-3.5066,0.564
-0.05826,-0.0598397,-0.00135503,-1.94169e-06,2.79058,-3.30298,0.568
-0.0582654,-0.0598397,-0.00137367,-1.07872e-06,2.50978,-3.07525,0.572
-0.058271,-0.0598397,-0.00139243,-5.99286e-07,2.20587,-2.82393,0.576
-0.0582766,-0.0598401,-0.00141131,-3.87208e-05,1.96627,-2.54925,0.58
-0.0582823,-0.0598401,-0.00143031,-2.15116e-05,1.61585,-2.29014,0.584
-0.058288,-0.0598401,-0.00144943,-1.19509e-05,1.2418,-1.99045,0.588
-0.0582938,-0.0598404,-0.00146867,-4.50273e-05,0.931536,-1.65773,0.592
-0.0582998,-0.0598404,-0.00148802,-2.50152e-05,0.509921,-1.33497,0.596
-0.0583058,-0.0598404,-0.0015075,-1.38973e-05,0.0641431,-0.968277,0.6
-0.0583118,-0.0598408,-0.0015271,-4.61086e-05,-0.318368,-0.566452,0.604
-0.058318,-0.0598411,-0.00154681,-6.40038e-05,-0.725156,-0.173206,0.608
-0.0583242,-0.0598411,-0.00156665,-3.55577e-05,-1.244,0.226077,0.612
-0.0583305,-0.0598411,-0.0015866,-1.97543e-05,-1.78771,0.678494,0.616
-0.0583369,-0.0598415,-0.00160667,-4.93625e-05,-2.26887,1.17147,0.62
-0.0583434,-0.0598415,-0.00162686,-2.74236e-05,-2.86261,1.65921,0.624
