joint_pos_desired_1, joint_pos_1, joint_vel_desired_1, joint_vel_filtered_1, input torque_1_w.DOB[Nm], DOB Torque Term[Nm], current_time
-0.13,-0.131801,-7.0784e-08,0,2.91646,0,0.004
-0.13,-0.131801,-2.83033e-07,0,4.21216,-1.2962,0.008
-0.13,-0.131801,-6.36593e-07,0,5.50731,-2.59218,0.012
-0.13,-0.131801,-1.13131e-06,0,6.80178,-3.8878,0.016
-0.13,-0.131801,-1.76703e-06,3.83879e-05,8.0078,-5.18288,0.02
-0.13,-0.131799,-2.54359e-06,0.000213266,8.86217,-6.43833,0.024
-0.13,-0.131795,-3.46085e-06,0.000540748,9.18856,-7.51546,0.028
-0.13,-0.131791,-4.51865e-06,0.000799458,9.3358,-8.25896,0.032
-0.13,-0.131784,-5.71683e-06,0.00113513,9.0404,-8.73742,0.036
-0.13,-0.131778,-7.05525e-06,0.00139838,8.56382,-8.87197,0.04
-0.13,-0.13177,-8.53374e-06,0.0016598,7.81778,-8.73491,0.044
-0.13,-0.131763,-1.01522e-05,0.00165148,7.41465,-8.3273,0.048
-0.13,-0.131756,-1.19103e-05,0.00164686,7.0048,-7.92168,0.052
-0.13,-0.131751,-1.38081e-05,0.00156752,6.76329,-7.51421,0.056
-0.13,-0.131746,-1.58454e-05,0.00140827,6.77808,-7.18053,0.06
-0.13,-0.131742,-1.8022e-05,0.00124303,6.96213,-7.00173,0.064
-0.13,-0.131738,-2.03377e-05,0.00111284,7.2282,-6.98418,0.068
-0.130001,-0.131736,-2.27924e-05,0.000848571,7.92681,-7.09274,0.072
-0.130001,-0.131732,-2.5386e-05,0.000855307,8.27058,-7.46343,0.076
-0.130001,-0.13173,-2.81183e-05,0.000743886,8.87166,-7.82221,0.08
-0.130001,-0.131726,-3.09891e-05,0.000873925,9.02977,-8.28858,0.084
-0.130001,-0.131721,-3.39983e-05,0.00102294,9.00639,-8.61794,0.088
-0.130001,-0.131715,-3.71457e-05,0.00125928,8.62566,-8.79049,0.092
-0.130001,-0.131706,-4.04312e-05,0.00162091,7.71123,-8.71709,0.096
-0.130001,-0.131698,-4.38547e-05,0.0018602,6.69953,-8.26994,0.1
-0.130002,-0.131688,-4.74159e-05,0.00210831,5.41491,-7.57188,0.104
-0.130002,-0.131678,-5.11147e-05,0.00224614,4.11931,-6.61317,0.108
-0.130002,-0.131669,-5.4951e-05,0.00224594,2.98778,-5.50479,0.112
-0.130002,-0.13166,-5.89247e-05,0.00224583,1.84541,-4.38612,0.116
-0.130003,-0.131653,-6.30354e-05,0.00209222,1.04249,-3.25698,0.12
-0.130003,-0.131647,-6.72832e-05,0.00177655,0.755051,-2.27289,0.124
