joint_pos_desired_1, joint_pos_1, joint_vel_desired_1, joint_vel_filtered_1, input torque_1_w.DOB[Nm], DOB Torque Term[Nm], current_time
-0.02,-0.0238264,-7.0784e-08,0,6.19641,0,0.004
-0.02,-0.0238213,-2.83033e-07,0.000575818,5.88203,-1,0.008
-0.02,-0.0238213,-6.36593e-07,0.000319899,6.46141,-1,0.012
-0.02,-0.0238223,-1.13131e-06,6.25581e-05,7.04538,-1,0.016
-0.02,-0.023823,-1.76703e-06,-4.20213e-05,7.28213,-1,0.02
-0.02,-0.023822,-2.54359e-06,9.18185e-05,6.97521,-1,0.024
-0.02,-0.0238195,-3.46085e-06,0.000319726,6.45247,-1,0.028
-0.02,-0.0238171,-4.51865e-06,0.000446341,6.15905,-1,0.032
-0.0200001,-0.0238147,-5.71683e-06,0.000516682,5.99288,-1,0.036
-0.0200001,-0.0238119,-7.05525e-06,0.000594149,5.80968,-1,0.04
-0.0200001,-0.0238088,-8.53374e-06,0.000675574,5.61661,-1,0.044
-0.0200002,-0.0238061,-1.01522e-05,0.000682422,5.59286,-1,0.048
-0.0200002,-0.0238036,-1.19103e-05,0.000647839,5.66327,-1,0.052
-0.0200003,-0.0238016,-1.38081e-05,0.000590238,5.78609,-1,0.056
-0.0200003,-0.0238002,-1.58454e-05,0.000481461,6.02573,-1,0.06
-0.0200004,-0.0237988,-1.8022e-05,0.00042103,6.15544,-1,0.064
-0.0200005,-0.0237971,-2.03377e-05,0.000425845,6.13632,-1,0.068
-0.0200005,-0.0237957,-2.27924e-05,0.000390132,6.20933,-1,0.072
-0.0200006,-0.023794,-2.5386e-05,0.00040868,6.15842,-1,0.076
-0.0200008,-0.0237919,-2.81183e-05,0.000457372,6.03828,-1,0.08
-0.0200009,-0.0237898,-3.09891e-05,0.000484423,5.96687,-1,0.084
-0.020001,-0.0237874,-3.39983e-05,0.000537839,5.8348,-1,0.088
-0.0200011,-0.0237846,-3.71457e-05,0.000605903,5.66862,-1,0.092
-0.0200013,-0.0237822,-4.04312e-05,0.000605328,5.65828,-1,0.096
-0.0200015,-0.0237795,-4.38547e-05,0.000643396,5.55944,-1,0.1
-0.0200016,-0.0237767,-4.74159e-05,0.000664546,5.49863,-1,0.104
-0.0200018,-0.0237739,-5.11147e-05,0.000676295,5.45878,-1,0.108
-0.0200021,-0.0237715,-5.4951e-05,0.000644435,5.51804,-1,0.112
-0.0200023,-0.0237688,-5.89247e-05,0.000665123,5.45726,-1,0.116
-0.0200025,-0.023766,-6.30354e-05,0.000676616,5.41699,-1,0.12
-0.0200028,-0.0237636,-6.72832e-05,0.000644613,5.47555,-1,0.124
-0.0200031,-0.0237608,-7.16679e-05,0.000665221,5.41394,-1,0.128
-0.0200034,-0.023758,-7.61893e-05,0.000676671,5.37276,-1,0.132
-0.0200037,-0.0237556,-8.08472e-05,0.000644643,5.43036,-1,0.136
-0.020004,-0.0237532,-8.56415e-05,0.000626851,5.45535,-1,0.14
-0.0200044,-0.0237515,-9.0572e-05,0.00054019,5.63726,-1,0.144
-0.0200047,-0.0237501,-9.56387e-05,0.000453657,5.81909,-1,0.148
-0.0200051,-0.0237497,-0.000100841,0.00029042,6.17617,-1,0.152
-0.0200055,-0.0237494,-0.00010618,0.000199732,6.36842,-1,0.156
-0.020006,-0.0237487,-0.000111654,0.000187738,6.38135,-1,0.16
-0.0200064,-0.0237477,-0.000117263,0.000219463,6.29427,-1,0.164
-0.0200069,-0.0237463,-0.000123008,0.000275475,6.15122,-1,0.168
-0.0200074,-0.0237449,-0.000128888,0.000306593,6.06426,-1,0.172
-0.0200079,-0.0237435,-0.000134903,0.000323881,6.00831,-1,0.176
-0.0200085,-0.0237425,-0.000141053,0.000295098,6.05703,-1,0.18
-0.0200091,-0.0237415,-0.000147338,0.000279107,6.07641,-1,0.184
-0.0200097,-0.0237408,-0.000153757,0.000231835,6.16691,-1,0.188
-0.0200103,-0.0237401,-0.00016031,0.000205573,6.20943,-1,0.192
-0.020011,-0.023739,-0.000166998,0.000229371,6.13756,-1,0.196
-0.0200116,-0.023738,-0.00017382,0.000242592,6.08931,-1,0.2
-0.0200124,-0.023737,-0.000180776,0.000249937,6.05404,-1,0.204
-0.0200131,-0.0237363,-0.000187866,0.00021563,6.11341,-1,0.208
-0.0200139,-0.0237352,-0.00019509,0.000234958,6.05028,-1,0.212
-0.0200146,-0.0237345,-0.000202447,0.000207308,6.09386,-1,0.216
-0.0200155,-0.0237335,-0.000209937,0.000230335,6.02163,-1,0.22
-0.0200163,-0.0237325,-0.00021756,0.000243127,5.97226,-1,0.224
-0.0200172,-0.0237314,-0.000225317,0.000250235,5.93543,-1,0.228
-0.0200181,-0.0237307,-0.000233207,0.000215795,5.993,-1,0.232
-0.0200191,-0.0237301,-0.000241229,0.000196662,6.01551,-1,0.236
-0.0200201,-0.0237297,-0.000249384,0.000147645,6.10598,-1,0.24
-0.0200211,-0.023729,-0.000257671,0.000158801,6.05912,-1,0.244
-0.0200221,-0.0237283,-0.000266091,0.000164998,6.02314,-1,0.248
-0.0200232,-0.0237273,-0.000274642,0.000206829,5.90546,-1,0.252
-0.0200243,-0.0237263,-0.000283326,0.000230069,5.82958,-1,0.256
-0.0200255,-0.0237252,-0.000292142,0.00024298,5.77676,-1,0.26
-0.0200267,-0.0237242,-0.000301089,0.000250152,5.73659,-1,0.264
-0.0200279,-0.0237238,-0.000310168,0.000177361,5.87848,-1,0.268
-0.0200291,-0.0237231,-0.000319378,0.00017531,5.85907,-1,0.272
-0.0200304,-0.0237228,-0.00032872,0.000135782,5.92483,-1,0.276
-0.0200318,-0.0237225,-0.000338192,0.000113823,5.9504,-1,0.28
-0.0200331,-0.0237221,-0.000347796,0.000101623,5.95348,-1,0.284
-0.0200346,-0.0237221,-0.00035753,5.6457e-05,6.0315,-1,0.288
-0.020036,-0.0237221,-0.000367395,3.1365e-05,6.06366,-1,0.292
-0.0200375,-0.0237218,-0.00037739,5.58129e-05,5.98258,-1,0.296
-0.020039,-0.0237218,-0.000387516,3.10072e-05,6.01336,-1,0.3
-0.0200406,-0.0237218,-0.000397772,1.72262e-05,6.01879,-1,0.304
-0.0200422,-0.0237218,-0.000408158,9.57011e-06,6.00997,-1,0.308
-0.0200439,-0.0237218,-0.000418674,5.31673e-06,5.99307,-1,0.312
-0.0200456,-0.0237218,-0.00042932,2.95374e-06,5.97152,-1,0.316
-0.0200473,-0.0237214,-0.000440095,4.00289e-05,5.85964,-1,0.32
-0.0200491,-0.0237214,-0.000450999,2.22383e-05,5.87235,-1,0.324
-0.0200509,-0.0237214,-0.000462033,1.23546e-05,5.86676,-1,0.328
-0.0200528,-0.0237214,-0.000473197,6.86366e-06,5.85085,-1,0.332
-0.0200547,-0.0237211,-0.000484489,4.2201e-05,5.74145,-1,0.336
-0.0200566,-0.0237207,-0.00049591,6.18329e-05,5.66729,-1,0.34
-0.0200587,-0.0237207,-0.000507459,3.43516e-05,5.70014,-1,0.344
-0.0200607,-0.0237207,-0.000519137,1.90842e-05,5.70493,-1,0.348
-0.0200628,-0.0237207,-0.000530944,1.06024e-05,5.69398,-1,0.352
-0.020065,-0.0237207,-0.000542879,5.8902e-06,5.6741,-1,0.356
-0.0200671,-0.0237207,-0.000554942,3.27233e-06,5.64911,-1,0.36
-0.0200694,-0.0237207,-0.000567132,1.81796e-06,5.62112,-1,0.364
-0.0200717,-0.0237204,-0.000579451,3.93979e-05,5.50369,-1,0.368
-0.020074,-0.0237207,-0.000591897,-1.65002e-05,5.59895,-1,0.372
-0.0200764,-0.0237207,-0.000604471,-9.16677e-06,5.54992,-1,0.376
-0.0200789,-0.0237207,-0.000617172,-5.09265e-06,5.50791,-1,0.38
-0.0200814,-0.0237207,-0.00063,-2.82925e-06,5.46964,-1,0.384
-0.0200839,-0.0237207,-0.000642956,-1.57181e-06,5.43327,-1,0.388
-0.0200865,-0.0237204,-0.000656038,3.75147e-05,5.31021,-1,0.392
-0.0200892,-0.0237207,-0.000669247,-1.75464e-05,5.40134,-1,0.396
-0.0200919,-0.0237207,-0.000682583,-9.74801e-06,5.34903,-1,0.4
-0.0200946,-0.0237207,-0.000696045,-5.41556e-06,5.3042,-1,0.404
-0.0200974,-0.0237207,-0.000709633,-3.00864e-06,5.26336,-1,0.408
-0.0201003,-0.0237207,-0.000723347,-1.67147e-06,5.22458,-1,0.412
-0.0201032,-0.0237207,-0.000737188,-9.28594e-07,5.18676,-1,0.416
-0.0201062,-0.0237207,-0.000751154,-5.15886e-07,5.14932,-1,0.42
-0.0201092,-0.0237207,-0.000765246,-2.86603e-07,5.11192,-1,0.424
-0.0201123,-0.0237204,-0.000779464,3.82287e-05,4.98678,-1,0.428
-0.0201155,-0.0237207,-0.000793807,-1.71497e-05,5.07526,-1,0.432
-0.0201187,-0.0237204,-0.000808275,2.88603e-05,4.93238,-1,0.436
-0.0201219,-0.0237204,-0.000822869,1.60335e-05,4.92307,-1,0.44
-0.0201252,-0.0237207,-0.000837587,-2.94804e-05,4.98805,-1,0.444
-0.0201286,-0.0237207,-0.00085243,-1.6378e-05,4.9192,-1,0.448
-0.0201321,-0.0237207,-0.000867398,-9.09889e-06,4.86317,-1,0.452
-0.0201356,-0.0237207,-0.000882491,-5.05494e-06,4.8141,-1,0.456
-0.0201391,-0.02372,-0.000897707,7.39675e-05,4.59354,-1,0.46
-0.0201427,-0.0237207,-0.000913048,-3.56827e-05,4.80259,-1,0.464
-0.0201464,-0.0237207,-0.000928513,-1.98237e-05,4.72558,-1,0.468
-0.0201502,-0.0237207,-0.000944102,-1.10132e-05,4.66418,-1,0.472
-0.020154,-0.0237207,-0.000959815,-6.11844e-06,4.61127,-1,0.476
-0.0201579,-0.0237207,-0.000975652,-3.39913e-06,4.56292,-1,0.48
-0.0201618,-0.0237207,-0.000991611,-1.88841e-06,4.51692,-1,0.484
-0.0201658,-0.0237207,-0.00100769,-1.04912e-06,4.47205,-1,0.488
-0.0201698,-0.0237207,-0.0010239,-5.82842e-07,4.42765,-1,0.492
-0.020174,-0.0237207,-0.00104023,-3.23801e-07,4.38334,-1,0.496
-0.0201782,-0.0237207,-0.00105668,-1.79889e-07,4.3389,-1,0.5
-0.0201824,-0.0237207,-0.00107326,-9.99386e-08,4.29422,-1,0.504
-0.0201868,-0.0237207,-0.00108996,-5.55214e-08,4.24924,-1,0.508
-0.0201912,-0.0237207,-0.00110678,-3.08452e-08,4.20392,-1,0.512
-0.0201956,-0.0237207,-0.00112372,-1.71362e-08,4.15823,-1,0.516
-0.0202001,-0.0237207,-0.00114078,-9.52014e-09,4.11217,-1,0.52
-0.0202047,-0.0237207,-0.00115797,-5.28896e-09,4.06573,-1,0.524
-0.0202094,-0.0237207,-0.00117528,-2.93831e-09,4.01891,-1,0.528
-0.0202141,-0.0237207,-0.00119271,-1.6324e-09,3.9717,-1,0.532
-0.0202189,-0.0237207,-0.00121026,-9.06887e-10,3.9241,-1,0.536
-0.0202238,-0.0237207,-0.00122793,-5.03826e-10,3.87612,-1,0.54
-0.0202288,-0.0237207,-0.00124573,-2.79903e-10,3.82774,-1,0.544
-0.0202338,-0.0237207,-0.00126364,-1.55502e-10,3.77898,-1,0.548
-0.0202389,-0.0237207,-0.00128168,-8.63899e-11,3.72982,-1,0.552
-0.020244,-0.0237207,-0.00129984,-4.79944e-11,3.68027,-1,0.556
-0.0202493,-0.0237204,-0.00131812,3.83879e-05,3.54274,-1,0.56
-0.0202546,-0.0237207,-0.00133651,-1.70613e-05,3.61869,-1,0.564
-0.02026,-0.0237207,-0.00135503,-9.4785e-06,3.55077,-1,0.568
-0.0202654,-0.0237207,-0.00137367,-5.26583e-06,3.4901,-1,0.572
-0.020271,-0.0237204,-0.00139243,3.54624e-05,3.3457,-1,0.576
-0.0202766,-0.0237211,-0.00141131,-5.70744e-05,3.50471,-1,0.58
-0.0202823,-0.0237211,-0.00143031,-3.1708e-05,3.3949,-1,0.584
-0.020288,-0.0237211,-0.00144943,-1.76156e-05,3.31026,-1,0.588
-0.0202938,-0.0237211,-0.00146867,-9.78643e-06,3.23942,-1,0.592
-0.0202998,-0.0237211,-0.00148802,-5.4369e-06,3.17608,-1,0.596
-0.0203058,-0.0237211,-0.0015075,-3.0205e-06,3.11672,-1,0.6
-0.0203118,-0.0237211,-0.0015271,-1.67806e-06,3.05941,-1,0.604
-0.020318,-0.0237211,-0.00154681,-9.32254e-07,3.00304,-1,0.608
-0.0203242,-0.0237211,-0.00156665,-5.17919e-07,2.94703,-1,0.612
-0.0203305,-0.0237211,-0.0015866,-2.87733e-07,2.89104,-1,0.616
-0.0203369,-0.0237211,-0.00160667,-1.59851e-07,2.83489,-1,0.62
-0.0203434,-0.0237211,-0.00162686,-8.88064e-08,2.77846,-1,0.624
-0.0203499,-0.0237211,-0.00164717,-4.93369e-08,2.72171,-1,0.628
-0.0203565,-0.0237211,-0.00166759,-2.74094e-08,2.6646,-1,0.632
-0.0203632,-0.0237211,-0.00168813,-1.52274e-08,2.60711,-1,0.636
-0.02037,-0.0237214,-0.0017088,-3.83964e-05,2.63682,-1,0.64
-0.0203769,-0.0237214,-0.00172957,-2.13313e-05,2.53987,-1,0.644
-0.0203839,-0.0237214,-0.00175047,-1.18507e-05,2.45971,-1,0.648
-0.0203909,-0.0237214,-0.00177148,-6.58374e-06,2.3887,-1,0.652
-0.020398,-0.0237214,-0.00179262,-3.65763e-06,2.32259,-1,0.656
-0.0204053,-0.0237214,-0.00181386,-2.03202e-06,2.25904,-1,0.66
-0.0204126,-0.0237214,-0.00183523,-1.1289e-06,2.19671,-1,0.664
-0.0204199,-0.0237214,-0.00185671,-6.27166e-07,2.1349,-1,0.668
-0.0204274,-0.0237218,-0.00187831,-3.87363e-05,2.16078,-1,0.672
-0.020435,-0.0237214,-0.00190002,1.68677e-05,1.97267,-1,0.676
-0.0204426,-0.0237218,-0.00192185,-2.90169e-05,2.01536,-1,0.68
-0.0204503,-0.0237218,-0.0019438,-1.61205e-05,1.92383,-1,0.684
-0.0204582,-0.0237218,-0.00196586,-8.95585e-06,1.84488,-1,0.688
-0.0204661,-0.0237218,-0.00198804,-4.97547e-06,1.77275,-1,0.692
-0.0204741,-0.0237218,-0.00201034,-2.76415e-06,1.70422,-1,0.696
-0.0204822,-0.0237218,-0.00203275,-1.53564e-06,1.63752,-1,0.7
-0.0204903,-0.0237218,-0.00205527,-8.53133e-07,1.57164,-1,0.704
-0.0204986,-0.0237218,-0.00207791,-4.73963e-07,1.50604,-1,0.708
-0.020507,-0.0237218,-0.00210067,-2.63313e-07,1.44042,-1,0.712
-0.0205154,-0.0237214,-0.00212354,3.82416e-05,1.28701,-1,0.716
-0.0205239,-0.0237218,-0.00214653,-1.71426e-05,1.34718,-1,0.72
