joint_pos_desired_1, joint_pos_1, joint_vel_desired_1, joint_vel_filtered_1, input torque_1_w.DOB[Nm], DOB Torque Term[Nm], current_time
-0.184,-0.231247,-7.0784e-08,0,76.5124,0,0.004
-0.184,-0.231243,-2.83033e-07,0.000499043,95.3732,-20,0.008
-0.184,-0.231241,-6.36593e-07,0.000507573,95.3497,-20,0.012
-0.184,-0.231213,-1.13131e-06,0.00335302,88.8527,-20,0.016
-0.184,-0.23115,-1.76703e-06,0.00884939,76.2882,-20,0.02
-0.184,-0.231056,-2.54359e-06,0.0153578,61.3784,-20,0.024
-0.184,-0.230936,-3.46085e-06,0.0218527,46.4571,-20,0.028
-0.184,-0.230792,-4.51865e-06,0.0281865,31.8609,-20,0.032
-0.184,-0.230635,-5.71683e-06,0.0330489,20.5808,-20,0.036
-0.184,-0.230469,-7.05525e-06,0.0368635,11.6598,-20,0.04
-0.184,-0.2303,-8.53374e-06,0.0392898,5.88135,-20,0.044
-0.184,-0.230133,-1.01522e-05,0.040369,-0.351948,-16.4875,0.048
-0.184,-0.229975,-1.19103e-05,0.0399705,-7.19224,-9.00348,0.052
-0.184,-0.229835,-1.38081e-05,0.0377145,-9.50512,-1.8064,0.056
-0.184,-0.229716,-1.58454e-05,0.0342347,-6.83989,3.21938,0.06
-0.184,-0.229621,-1.8022e-05,0.0294992,2.13162,4.82636,0.064
-0.184,-0.229549,-2.03377e-05,0.0244499,16.5511,1.73165,0.068
-0.184001,-0.229494,-2.27924e-05,0.019687,35.3826,-6.39614,0.072
-0.184001,-0.229451,-2.5386e-05,0.0156589,57.3247,-19.2808,0.076
-0.184001,-0.229413,-2.81183e-05,0.0129221,64.1809,-20,0.08
-0.184001,-0.229374,-3.09891e-05,0.0115168,67.297,-20,0.084
-0.184001,-0.229331,-3.39983e-05,0.0112351,67.8581,-20,0.088
-0.184001,-0.229281,-3.71457e-05,0.011808,66.4707,-20,0.092
-0.184001,-0.229224,-4.04312e-05,0.0128556,63.9961,-20,0.096
-0.184001,-0.229161,-4.38547e-05,0.014167,60.9125,-20,0.1
-0.184002,-0.229091,-4.74159e-05,0.0156249,57.4857,-20,0.104
-0.184002,-0.229016,-5.11147e-05,0.0170491,54.1262,-20,0.108
-0.184002,-0.228937,-5.4951e-05,0.0182241,51.3254,-20,0.112
-0.184002,-0.228855,-5.89247e-05,0.0192608,48.8325,-20,0.116
-0.184003,-0.228769,-6.30354e-05,0.0201823,46.5955,-20,0.12
-0.184003,-0.228681,-6.72832e-05,0.0210781,44.4107,-20,0.124
-0.184003,-0.228591,-7.16679e-05,0.0216909,42.8655,-20,0.128
-0.184003,-0.228502,-7.61893e-05,0.0218778,42.2878,-20,0.132
-0.184004,-0.228412,-8.08472e-05,0.022212,41.3725,-20,0.136
-0.184004,-0.228322,-8.56415e-05,0.0223592,40.8811,-20,0.14
-0.184004,-0.228231,-9.0572e-05,0.0224794,40.4503,-20,0.144
-0.184005,-0.228141,-9.56387e-05,0.0224694,40.3154,-20,0.148
-0.184005,-0.228051,-0.000100841,0.0224639,40.17,-20,0.152
-0.184006,-0.22796,-0.00010618,0.0226911,39.4932,-20,0.156
-0.184006,-0.227868,-0.000111654,0.0228174,39.045,-20,0.16
-0.184006,-0.227774,-0.000117263,0.023041,38.3734,-20,0.164
-0.184007,-0.227682,-0.000123008,0.0230118,38.2771,-20,0.168
-0.184007,-0.227588,-0.000128888,0.0232642,37.5378,-20,0.172
-0.184008,-0.227493,-0.000134903,0.0235196,36.7898,-20,0.176
-0.184008,-0.227397,-0.000141053,0.0236615,36.2989,-20,0.18
-0.184009,-0.2273,-0.000147338,0.0239707,35.425,-20,0.184
-0.18401,-0.227202,-0.000153757,0.0241808,34.7746,-20,0.188
-0.18401,-0.227106,-0.00016031,0.024144,34.6861,-20,0.192
-0.184011,-0.227008,-0.000166998,0.0242771,34.2097,-20,0.196
-0.184012,-0.22691,-0.00017382,0.0244278,33.692,-20,0.2
-0.184012,-0.226811,-0.000180776,0.0244732,33.4133,-20,0.204
