joint_pos_desired_1, joint_pos_1, joint_vel_desired_1, joint_vel_filtered_1, input torque_1_w.DOB[Nm], DOB Torque Term[Nm], current_time
-1.65,-1.652,7.0784e-08,0,3.23658,0,0.004
-1.65,-1.652,2.83033e-07,-0.000115164,4.93838,-1.43852,0.008
-1.65,-1.652,6.36593e-07,-6.39798e-05,6.37863,-2.99399,0.012
-1.65,-1.652,1.13131e-06,2.84355e-06,7.73198,-4.49825,0.016
-1.65,-1.652,1.76703e-06,1.57975e-06,9.17353,-5.93547,0.02
-1.65,-1.652,2.54359e-06,0.000192817,10.178,-7.37453,0.024
-1.65,-1.65199,3.46085e-06,0.000529388,10.6568,-8.6204,0.028
-1.65,-1.65199,4.51865e-06,0.000754759,11.0466,-9.52537,0.032
-1.65,-1.65198,5.71683e-06,0.0010719,10.9967,-10.2013,0.036
-1.65,-1.65198,7.05525e-06,0.00144004,10.5063,-10.5547,0.04
-1.65,-1.65197,8.53374e-06,0.00172133,9.83691,-10.5331,0.044
-1.65,-1.65196,1.01522e-05,0.00218471,8.46261,-10.2235,0.048
-1.65,-1.65194,1.19103e-05,0.00251891,6.90722,-9.44074,0.052
-1.65,-1.65193,1.38081e-05,0.00281975,5.08276,-8.31461,0.056
-1.65,-1.65192,1.58454e-05,0.00306366,3.07622,-6.87814,0.06
-1.65,-1.6519,1.8022e-05,0.00327593,0.887251,-5.18831,0.064
-1.65,-1.65189,2.03377e-05,0.00335548,-1.22169,-3.2767,0.068
-1.65,-1.65188,2.27924e-05,0.00324612,-2.9874,-1.27746,0.072
-1.65,-1.65187,2.5386e-05,0.00287826,-4.05836,0.617888,0.076
-1.65,-1.65186,2.81183e-05,0.00236679,-4.43246,2.14678,0.08
-1.65,-1.65186,3.09891e-05,0.00162199,-3.75717,3.16234,0.084
-1.65,-1.65186,3.39983e-05,0.000709165,-1.94179,3.42634,0.088
-1.65,-1.65186,3.71457e-05,0.000355593,-0.472294,2.7664,0.092
-1.65,-1.65186,4.04312e-05,0.000159163,1.00101,1.74672,0.096
-1.65,-1.65186,4.38547e-05,5.00363e-05,2.47829,0.525464,0.1
-1.65,-1.65186,4.74159e-05,2.77979e-05,3.87211,-0.809548,0.104
-1.65,-1.65186,5.11147e-05,-2.29446e-05,5.3576,-2.17071,0.108
-1.65,-1.65186,5.4951e-05,6.40288e-05,6.58473,-3.58707,0.112
-1.65,-1.65186,5.89247e-05,7.39595e-05,7.90334,-4.91936,0.116
-1.65,-1.65186,6.30354e-05,0.00019464,8.9634,-6.24553,0.12
-1.65,-1.65186,6.72832e-05,0.000415237,9.67673,-7.45338,0.124
-1.65,-1.65185,7.16679e-05,0.000768118,9.86728,-8.44139,0.128
-1.65,-1.65185,7.61893e-05,0.00107933,9.79655,-9.07499,0.132
-1.65,-1.65184,8.08472e-05,0.00148255,9.20113,-9.39553,0.136
-1.65,-1.65183,8.56415e-05,0.00174495,8.51773,-9.30902,0.14
-1.65,-1.65182,9.0572e-05,0.00212105,7.30818,-8.95719,0.144
-1.65,-1.65181,9.56387e-05,0.00229161,6.18442,-8.22423,0.148
-1.64999,-1.6518,0.000100841,0.00238637,5.0592,-7.31761,0.152
-1.64999,-1.65179,0.00010618,0.00240062,4.02028,-6.31387,0.156
-1.64999,-1.65178,0.000111654,0.00237015,3.06803,-5.29451,0.16
-1.64999,-1.65177,0.000117263,0.00223806,2.37806,-4.30501,0.164
-1.64999,-1.65176,0.000123008,0.0020879,1.86365,-3.44865,0.168
-1.64999,-1.65176,0.000128888,0.0019277,1.52544,-2.74427,0.172
-1.64999,-1.65175,0.000134903,0.0015316,1.88973,-2.20273,0.176
-1.64999,-1.65175,0.000141053,0.0011196,2.6958,-2.06378,0.18
-1.64999,-1.65175,0.000147338,0.000622003,4.12025,-2.34488,0.184
-1.64999,-1.65175,0.000153757,0.000230393,5.81454,-3.13409,0.188
-1.64999,-1.65175,0.00016031,0.000166384,7.16633,-4.32543,0.192
-1.64999,-1.65175,0.000166998,0.000169211,8.43767,-5.58805,0.196
-1.64999,-1.65175,0.00017382,0.000247558,9.54086,-6.85452,0.2
-1.64999,-1.65175,0.000180776,0.00036786,10.4756,-8.0484,0.204
-1.64999,-1.65174,0.000187866,0.000626633,10.9787,-9.12705,0.208
-1.64999,-1.65174,0.00019509,0.000923948,11.1367,-9.94988,0.212
-1.64999,-1.65173,0.000202447,0.00120429,11.0364,-10.4772,0.216
-1.64998,-1.65172,0.000209937,0.00166713,10.2392,-10.7256,0.22
-1.64998,-1.65171,0.00021756,0.00207782,9.09363,-10.5092,0.224
-1.64998,-1.6517,0.000225317,0.00261309,7.2485,-9.87986,0.228
-1.64998,-1.65168,0.000233207,0.00314078,4.8772,-8.71016,0.232
-1.64998,-1.65167,0.000241229,0.00351072,2.3288,-7.00647,0.236
-1.64998,-1.65165,0.000249384,0.00379302,-0.397049,-4.9274,0.24
-1.64998,-1.65164,0.000257671,0.00383469,-2.86268,-2.56096,0.244
-1.64998,-1.65162,0.000266091,0.00355074,-4.62919,-0.150567,0.248
-1.64998,-1.65162,0.000274642,0.00297072,-5.43168,1.97354,0.252
-1.64998,-1.65161,0.000283326,0.00184234,-4.39123,3.51004,0.256
-1.64997,-1.65162,0.000292142,0.000831581,-2.46624,3.90128,0.26
-1.64997,-1.65162,0.000301089,0.000193274,-0.354892,3.26323,0.264
-1.64997,-1.65162,0.000310168,-0.000276504,2.03114,1.97045,0.268
-1.64997,-1.65162,0.000319378,-0.00057588,4.51757,0.191844,0.272
-1.64997,-1.65163,0.00032872,-0.000588649,6.66682,-1.90124,0.276
-1.64997,-1.65163,0.000338192,-0.000288639,8.12766,-4.01915,0.28
-1.64997,-1.65163,0.000347796,-0.000121967,9.59918,-5.84509,0.284
-1.64997,-1.65163,0.00035753,8.5792e-05,10.8187,-7.51349,0.288
-1.64996,-1.65162,0.000367395,0.000393153,11.6104,-8.98234,0.292
-1.64996,-1.65162,0.00037739,0.000755849,11.9732,-10.1502,0.296
-1.64996,-1.65161,0.000387516,0.000995735,12.2566,-10.9604,0.3
